,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1031, 25, 353, 40]","[1038, 18, 345, 48]","[1027, 29, 357, 36]","[1027, 29, 334, 59]","[1035, 21, 344, 49]","[1035, 21, 347, 46]",[10303   257  3471   458],[10295   265  3455   474],[10315   245  3469   460],[10306   254  3483   446],[10315   245  3479   450]
1,1,"[50, 100, 150]",100,"[1031, 25, 351, 42]","[1038, 18, 345, 48]","[1028, 28, 358, 35]","[1027, 29, 334, 59]","[1035, 21, 344, 49]","[1035, 21, 346, 47]",[10304   256  3469   460],[10298   262  3460   469],[10317   243  3474   455],[10310   250  3487   442],[10313   247  3479   450]
2,1,"[50, 100, 150]",150,"[1031, 25, 353, 40]","[1038, 18, 345, 48]","[1028, 28, 358, 35]","[1027, 29, 334, 59]","[1035, 21, 344, 49]","[1035, 21, 347, 46]",[10304   256  3472   457],[10298   262  3460   469],[10319   241  3481   448],[10313   247  3487   442],[10315   245  3482   447]
3,1,"[50, 100, 150]",50,"[1026, 30, 341, 52]","[1027, 29, 330, 63]","[1019, 37, 346, 47]","[1019, 37, 321, 72]","[1021, 35, 334, 59]","[1031, 25, 338, 55]",[10231   329  3359   570],[10231   329  3350   579],[10235   325  3358   571],[10235   325  3364   565],[10236   324  3359   570]
4,1,"[50, 100, 150]",100,"[1026, 30, 341, 52]","[1030, 26, 334, 59]","[1020, 36, 346, 47]","[1019, 37, 321, 72]","[1021, 35, 334, 59]","[1031, 25, 340, 53]",[10237   323  3365   564],[10229   331  3353   576],[10245   315  3364   565],[10237   323  3367   562],[10239   321  3362   567]
5,1,"[50, 100, 150]",150,"[1026, 30, 341, 52]","[1030, 26, 334, 59]","[1020, 36, 346, 47]","[1019, 37, 321, 72]","[1021, 35, 334, 59]","[1031, 25, 339, 54]",[10237   323  3364   565],[10230   330  3354   575],[10246   314  3366   563],[10237   323  3368   561],[10240   320  3362   567]
6,1,"[50, 100, 150]",50,"[1020, 36, 326, 67]","[1016, 40, 310, 83]","[1013, 43, 335, 58]","[1016, 40, 306, 87]","[1007, 49, 310, 83]","[1023, 33, 327, 66]",[10137   423  3213   716],[10131   429  3210   719],[10133   427  3239   690],[10132   428  3245   684],[10128   432  3238   691]
7,1,"[50, 100, 150]",100,"[1020, 36, 327, 66]","[1016, 40, 310, 83]","[1013, 43, 335, 58]","[1013, 43, 301, 92]","[1008, 48, 311, 82]","[1024, 32, 328, 65]",[10141   419  3214   715],[10131   429  3212   717],[10128   432  3230   699],[10125   435  3242   687],[10128   432  3240   689]
8,1,"[50, 100, 150]",150,"[1020, 36, 329, 64]","[1016, 40, 310, 83]","[1013, 43, 335, 58]","[1016, 40, 307, 86]","[1008, 48, 311, 82]","[1024, 32, 328, 65]",[10142   418  3219   710],[10132   428  3210   719],[10135   425  3237   692],[10126   434  3243   686],[10124   436  3235   694]
9,2,"[50, 100, 150]",50,"[1017, 39, 322, 71]","[1019, 37, 311, 82]","[1014, 42, 332, 61]","[1010, 46, 302, 91]","[1003, 53, 309, 84]","[1018, 38, 328, 65]",[10101   459  3190   739],[10084   476  3160   769],[10113   447  3208   721],[10103   457  3200   729],[10084   476  3193   736]
10,2,"[50, 100, 150]",100,"[1017, 39, 324, 69]","[1021, 35, 316, 77]","[1015, 41, 332, 61]","[1010, 46, 304, 89]","[1003, 53, 309, 84]","[1018, 38, 326, 67]",[10107   453  3198   731],[10091   469  3169   760],[10104   456  3196   733],[10104   456  3200   729],[10081   479  3186   743]
11,2,"[50, 100, 150]",150,"[1017, 39, 325, 68]","[1021, 35, 316, 77]","[1014, 42, 332, 61]","[1010, 46, 305, 88]","[1003, 53, 309, 84]","[1018, 38, 325, 68]",[10105   455  3202   727],[10094   466  3168   761],[10108   452  3200   729],[10104   456  3202   727],[10083   477  3194   735]
12,2,"[50, 100, 150]",50,"[1012, 44, 310, 83]","[1010, 46, 303, 90]","[1000, 56, 315, 78]","[995, 61, 292, 101]","[995, 61, 298, 95]","[1005, 51, 318, 75]",[10005   555  3092   837],[10029   531  3096   833],[10033   527  3110   819],[10022   538  3101   828],[10013   547  3107   822]
13,2,"[50, 100, 150]",100,"[1012, 44, 311, 82]","[1009, 47, 303, 90]","[1001, 55, 319, 74]","[996, 60, 292, 101]","[997, 59, 299, 94]","[1005, 51, 317, 76]",[10008   552  3097   832],[10032   528  3094   835],[10029   531  3105   824],[10019   541  3101   828],[10015   545  3111   818]
14,2,"[50, 100, 150]",150,"[1012, 44, 311, 82]","[1009, 47, 303, 90]","[1001, 55, 315, 78]","[996, 60, 292, 101]","[994, 62, 297, 96]","[1004, 52, 317, 76]",[10006   554  3092   837],[10033   527  3096   833],[10030   530  3110   819],[10018   542  3100   829],[10018   542  3111   818]
15,2,"[50, 100, 150]",50,"[1010, 46, 304, 89]","[1002, 54, 303, 90]","[999, 57, 309, 84]","[993, 63, 288, 105]","[989, 67, 295, 98]","[1002, 54, 313, 80]",[9975  585 3059  870],[10001   559  3072   857],[10006   554  3085   844],[9999  561 3075  854],[9994  566 3092  837]
16,2,"[50, 100, 150]",100,"[1011, 45, 304, 89]","[1000, 56, 302, 91]","[1000, 56, 309, 84]","[993, 63, 288, 105]","[989, 67, 294, 99]","[1002, 54, 314, 79]",[9978  582 3058  871],[10012   548  3079   850],[10011   549  3090   839],[9997  563 3070  859],[9991  569 3085  844]
17,2,"[50, 100, 150]",150,"[1011, 45, 307, 86]","[1002, 54, 303, 90]","[1000, 56, 309, 84]","[994, 62, 289, 104]","[991, 65, 294, 99]","[1002, 54, 314, 79]",[9981  579 3063  866],[10007   553  3074   855],[10014   546  3090   839],[9995  565 3071  858],[9993  567 3089  840]
18,3,"[50, 100, 150]",50,"[1012, 44, 309, 84]","[1008, 48, 301, 92]","[998, 58, 309, 84]","[992, 64, 285, 108]","[986, 70, 293, 100]","[1005, 51, 312, 81]",[9979  581 3057  872],[10000   560  3076   853],[10011   549  3089   840],[10011   549  3077   852],[9987  573 3070  859]
19,3,"[50, 100, 150]",100,"[1011, 45, 309, 84]","[1008, 48, 301, 92]","[999, 57, 312, 81]","[992, 64, 286, 107]","[987, 69, 294, 99]","[1006, 50, 312, 81]",[9984  576 3063  866],[10008   552  3079   850],[10012   548  3090   839],[10008   552  3081   848],[9987  573 3072  857]
20,3,"[50, 100, 150]",150,"[1011, 45, 310, 83]","[1008, 48, 301, 92]","[999, 57, 309, 84]","[992, 64, 286, 107]","[987, 69, 294, 99]","[1006, 50, 313, 80]",[9986  574 3062  867],[10006   554  3079   850],[10011   549  3091   838],[10004   556  3080   849],[9986  574 3074  855]
21,3,"[50, 100, 150]",50,"[1009, 47, 307, 86]","[1001, 55, 300, 93]","[996, 60, 307, 86]","[993, 63, 287, 106]","[983, 73, 291, 102]","[1006, 50, 312, 81]",[9962  598 3040  889],[9982  578 3051  878],[9990  570 3078  851],[9996  564 3058  871],[9978  582 3062  867]
22,3,"[50, 100, 150]",100,"[1010, 46, 307, 86]","[1000, 56, 300, 93]","[997, 59, 308, 85]","[993, 63, 287, 106]","[984, 72, 291, 102]","[1006, 50, 310, 83]",[9967  593 3037  892],[9985  575 3057  872],[9988  572 3074  855],[9988  572 3058  871],[9979  581 3062  867]
