,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1033, 23, 331, 62]","[1025, 31, 329, 64]","[1021, 35, 342, 51]","[1014, 42, 310, 83]","[1019, 37, 327, 66]","[1022, 34, 333, 60]",[10197   363  3322   607],[10173   387  3330   599],[10208   352  3378   551],[10205   355  3347   582],[10189   371  3332   597]
1,25,0.2,"[1020, 36, 322, 71]","[1015, 41, 307, 86]","[1003, 53, 329, 64]","[1002, 54, 299, 94]","[1007, 49, 314, 79]","[1015, 41, 324, 69]",[10068   492  3180   749],[10062   498  3181   748],[10093   467  3205   724],[10084   476  3184   745],[10086   474  3190   739]
2,25,0.3,"[1019, 37, 321, 72]","[1009, 47, 304, 89]","[1002, 54, 328, 65]","[1002, 54, 295, 98]","[1006, 50, 312, 81]","[1013, 43, 322, 71]",[10055   505  3155   774],[10041   519  3141   788],[10075   485  3181   748],[10063   497  3164   765],[10075   485  3153   776]
3,25,0.4,"[1016, 40, 319, 74]","[1008, 48, 301, 92]","[1000, 56, 324, 69]","[1000, 56, 295, 98]","[1005, 51, 309, 84]","[1014, 42, 320, 73]",[10048   512  3137   792],[10028   532  3129   800],[10048   512  3162   767],[10050   510  3155   774],[10058   502  3139   790]
4,25,0.5,"[1016, 40, 317, 76]","[1006, 50, 299, 94]","[999, 57, 323, 70]","[1000, 56, 294, 99]","[1005, 51, 307, 86]","[1014, 42, 319, 74]",[10045   515  3125   804],[10017   543  3116   813],[10037   523  3159   770],[10042   518  3143   786],[10044   516  3118   811]
5,50,0.1,"[1020, 36, 322, 71]","[1015, 41, 308, 85]","[1003, 53, 329, 64]","[1002, 54, 300, 93]","[1008, 48, 314, 79]","[1015, 41, 324, 69]",[10073   487  3183   746],[10064   496  3184   745],[10094   466  3205   724],[10086   474  3186   743],[10089   471  3191   738]
6,50,0.2,"[1016, 40, 319, 74]","[1008, 48, 303, 90]","[1000, 56, 324, 69]","[1000, 56, 295, 98]","[1005, 51, 309, 84]","[1013, 43, 320, 73]",[10047   513  3139   790],[10027   533  3130   799],[10048   512  3162   767],[10049   511  3157   772],[10059   501  3141   788]
7,50,0.3,"[1012, 44, 316, 77]","[1005, 51, 298, 95]","[998, 58, 323, 70]","[999, 57, 293, 100]","[1005, 51, 309, 84]","[1012, 44, 318, 75]",[10032   528  3120   809],[10016   544  3105   824],[10032   528  3148   781],[10041   519  3132   797],[10036   524  3115   814]
8,50,0.4,"[1012, 44, 317, 76]","[1004, 52, 299, 94]","[997, 59, 322, 71]","[995, 61, 293, 100]","[1004, 52, 310, 83]","[1009, 47, 315, 78]",[10017   543  3109   820],[10020   540  3092   837],[10023   537  3142   787],[10032   528  3119   810],[10035   525  3112   817]
9,50,0.5,"[1012, 44, 317, 76]","[1002, 54, 296, 97]","[996, 60, 321, 72]","[996, 60, 293, 100]","[1002, 54, 309, 84]","[1007, 49, 313, 80]",[10007   553  3099   830],[10015   545  3095   834],[10015   545  3134   795],[10032   528  3113   816],[10030   530  3100   829]
10,75,0.1,"[1019, 37, 321, 72]","[1009, 47, 304, 89]","[1002, 54, 328, 65]","[1001, 55, 296, 97]","[1006, 50, 312, 81]","[1013, 43, 322, 71]",[10055   505  3157   772],[10041   519  3143   786],[10078   482  3181   748],[10062   498  3165   764],[10076   484  3153   776]
11,75,0.2,"[1012, 44, 316, 77]","[1005, 51, 298, 95]","[998, 58, 323, 70]","[999, 57, 293, 100]","[1005, 51, 309, 84]","[1012, 44, 318, 75]",[10032   528  3120   809],[10016   544  3106   823],[10032   528  3147   782],[10041   519  3133   796],[10036   524  3115   814]
12,75,0.3,"[1012, 44, 317, 76]","[1004, 52, 296, 97]","[996, 60, 321, 72]","[995, 61, 293, 100]","[1002, 54, 309, 84]","[1009, 47, 314, 79]",[10012   548  3101   828],[10018   542  3092   837],[10021   539  3138   791],[10032   528  3117   812],[10037   523  3107   822]
13,75,0.4,"[1011, 45, 317, 76]","[1002, 54, 295, 98]","[996, 60, 322, 71]","[996, 60, 293, 100]","[1002, 54, 309, 84]","[1007, 49, 313, 80]",[10006   554  3099   830],[10011   549  3089   840],[10015   545  3126   803],[10029   531  3106   823],[10015   545  3095   834]
14,75,0.5,"[1010, 46, 317, 76]","[1001, 55, 293, 100]","[996, 60, 322, 71]","[995, 61, 292, 101]","[1000, 56, 307, 86]","[1007, 49, 312, 81]",[10003   557  3094   835],[10004   556  3083   846],[10005   555  3113   816],[10029   531  3108   821],[10008   552  3093   836]
