,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1028, 28, 358, 35]","[1027, 29, 334, 59]","[1036, 20, 345, 48]","[1036, 20, 347, 46]",[10309   251  3474   455],[10309   251  3474   455],[10323   237  3486   443],[10320   240  3504   425],[10320   240  3493   436]
1,1,"[50, 100, 150]",100,"[1031, 25, 354, 39]","[1039, 17, 349, 44]","[1029, 27, 358, 35]","[1027, 29, 334, 59]","[1035, 21, 345, 48]","[1036, 20, 345, 48]",[10310   250  3477   452],[10318   242  3480   449],[10324   236  3485   444],[10320   240  3502   427],[10322   238  3498   431]
2,1,"[50, 100, 150]",150,"[1031, 25, 354, 39]","[1038, 18, 347, 46]","[1030, 26, 359, 34]","[1027, 29, 334, 59]","[1036, 20, 346, 47]","[1038, 18, 347, 46]",[10313   247  3479   450],[10316   244  3482   447],[10324   236  3486   443],[10323   237  3506   423],[10325   235  3503   426]
3,1,"[50, 100, 150]",50,"[1028, 28, 341, 52]","[1029, 27, 330, 63]","[1019, 37, 348, 45]","[1024, 32, 327, 66]","[1020, 36, 334, 59]","[1031, 25, 343, 50]",[10255   305  3376   553],[10255   305  3380   549],[10261   299  3388   541],[10266   294  3387   542],[10267   293  3396   533]
4,1,"[50, 100, 150]",100,"[1028, 28, 341, 52]","[1031, 25, 335, 58]","[1019, 37, 349, 44]","[1023, 33, 327, 66]","[1024, 32, 336, 57]","[1033, 23, 344, 49]",[10259   301  3386   543],[10258   302  3382   547],[10265   295  3391   538],[10266   294  3388   541],[10267   293  3392   537]
5,1,"[50, 100, 150]",150,"[1027, 29, 341, 52]","[1030, 26, 334, 59]","[1019, 37, 349, 44]","[1023, 33, 327, 66]","[1022, 34, 335, 58]","[1034, 22, 344, 49]",[10259   301  3383   546],[10258   302  3386   543],[10265   295  3389   540],[10267   293  3383   546],[10266   294  3397   532]
6,1,"[50, 100, 150]",50,"[1024, 32, 330, 63]","[1018, 38, 314, 79]","[1013, 43, 337, 56]","[1014, 42, 311, 82]","[1012, 44, 320, 73]","[1024, 32, 333, 60]",[10173   387  3258   671],[10174   386  3259   670],[10181   379  3280   649],[10181   379  3263   666],[10181   379  3274   655]
7,1,"[50, 100, 150]",100,"[1024, 32, 330, 63]","[1018, 38, 313, 80]","[1013, 43, 341, 52]","[1015, 41, 313, 80]","[1014, 42, 321, 72]","[1024, 32, 334, 59]",[10175   385  3264   665],[10180   380  3262   667],[10185   375  3281   648],[10191   369  3267   662],[10181   379  3268   661]
8,1,"[50, 100, 150]",150,"[1024, 32, 330, 63]","[1017, 39, 313, 80]","[1013, 43, 341, 52]","[1015, 41, 313, 80]","[1014, 42, 320, 73]","[1025, 31, 334, 59]",[10172   388  3264   665],[10180   380  3259   670],[10183   377  3279   650],[10193   367  3268   661],[10178   382  3273   656]
9,2,"[50, 100, 150]",50,"[1021, 35, 323, 70]","[1017, 39, 315, 78]","[1016, 40, 337, 56]","[1012, 44, 305, 88]","[1010, 46, 315, 78]","[1021, 35, 330, 63]",[10129   431  3225   704],[10127   433  3217   712],[10143   417  3236   693],[10146   414  3243   686],[10139   421  3232   697]
