,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[998, 58, 302, 91]",0.7428393954034094,0.5627198593692668,0.2319165181980148,0.32845569549594045
1,linear,1000.0,,,50,0.5,"[998, 58, 302, 91]",0.7427565739526536,0.5621231091957671,0.2324764571137694,0.3289156052405913
