,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1029, 27, 332, 61]","[1024, 32, 332, 61]","[1026, 30, 347, 46]","[1020, 36, 318, 75]","[1024, 32, 329, 64]","[1020, 36, 338, 55]",[10223   337  3362   567],[10217   343  3362   567],[10225   335  3365   564],[10215   345  3360   569],[10218   342  3370   559]
1,25,0.2,"[1015, 41, 324, 69]","[1015, 41, 315, 78]","[1010, 46, 330, 63]","[1005, 51, 297, 96]","[1005, 51, 316, 77]","[1011, 45, 322, 71]",[10089   471  3205   724],[10087   473  3205   724],[10092   468  3209   720],[10100   460  3211   718],[10096   464  3207   722]
2,25,0.3,"[1014, 42, 318, 75]","[1014, 42, 310, 83]","[1005, 51, 327, 66]","[1002, 54, 295, 98]","[1004, 52, 314, 79]","[1011, 45, 318, 75]",[10057   503  3172   757],[10064   496  3167   762],[10065   495  3173   756],[10068   492  3170   759],[10070   490  3167   762]
3,25,0.4,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1055, 1, 393, 0]",[10559     1  3928     1],[10558     2  3928     1],[10559     1  3928     1],[10558     2  3928     1],[10558     2  3928     1]
4,25,0.5,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,50,0.1,"[1015, 41, 325, 68]","[1015, 41, 315, 78]","[1010, 46, 331, 62]","[1005, 51, 297, 96]","[1005, 51, 316, 77]","[1011, 45, 322, 71]",[10092   468  3206   723],[10088   472  3209   720],[10095   465  3210   719],[10100   460  3212   717],[10100   460  3211   718]
6,50,0.2,"[1014, 42, 316, 77]","[1014, 42, 309, 84]","[1002, 54, 324, 69]","[1003, 53, 295, 98]","[1004, 52, 313, 80]","[1011, 45, 317, 76]",[10055   505  3151   778],[10049   511  3148   781],[10051   509  3153   776],[10052   508  3149   780],[10062   498  3152   777]
7,50,0.3,"[1013, 43, 311, 82]","[1011, 45, 304, 89]","[1000, 56, 323, 70]","[1001, 55, 296, 97]","[1003, 53, 308, 85]","[1009, 47, 313, 80]",[10038   522  3123   806],[10034   526  3117   812],[10034   526  3119   810],[10034   526  3107   822],[10047   513  3125   804]
8,50,0.4,"[753, 303, 167, 226]","[745, 311, 161, 232]","[741, 315, 161, 232]","[743, 313, 139, 254]","[707, 349, 160, 233]","[740, 316, 172, 221]",[7353 3207 1635 2294],[7365 3195 1639 2290],[7366 3194 1634 2295],[7365 3195 1638 2291],[7364 3196 1629 2300]
9,50,0.5,"[38, 1018, 5, 388]","[32, 1024, 7, 386]","[36, 1020, 7, 386]","[33, 1023, 3, 390]","[32, 1024, 5, 388]","[32, 1024, 7, 386]",[  365 10195    63  3866],[  376 10184    60  3869],[  376 10184    62  3867],[  372 10188    63  3866],[  375 10185    61  3868]
10,75,0.1,"[1014, 42, 318, 75]","[1014, 42, 310, 83]","[1005, 51, 327, 66]","[1002, 54, 295, 98]","[1004, 52, 314, 79]","[1011, 45, 318, 75]",[10057   503  3172   757],[10064   496  3168   761],[10066   494  3173   756],[10069   491  3171   758],[10070   490  3168   761]
11,75,0.2,"[1013, 43, 311, 82]","[1011, 45, 304, 89]","[1000, 56, 323, 70]","[1001, 55, 296, 97]","[1003, 53, 308, 85]","[1009, 47, 314, 79]",[10038   522  3124   805],[10034   526  3117   812],[10034   526  3119   810],[10034   526  3107   822],[10047   513  3125   804]
12,75,0.3,"[1013, 43, 311, 82]","[1005, 51, 300, 93]","[999, 57, 323, 70]","[999, 57, 295, 98]","[1003, 53, 305, 88]","[1006, 50, 310, 83]",[10021   539  3100   829],[10020   540  3098   831],[10016   544  3099   830],[10015   545  3093   836],[10019   541  3097   832]
13,75,0.4,"[1056, 0, 393, 0]","[1055, 1, 392, 1]","[1055, 1, 392, 1]","[1055, 1, 391, 2]","[1056, 0, 393, 0]","[1055, 1, 393, 0]",[10555     5  3917    12],[10556     4  3918    11],[10555     5  3918    11],[10556     4  3920     9],[10555     5  3917    12]
14,75,0.5,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
