,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,200,5,"[1020, 36, 320, 73]","[1019, 37, 313, 80]","[1014, 42, 320, 73]","[1002, 54, 296, 97]","[1010, 46, 302, 91]","[1017, 39, 321, 72]",[10097   463  3148   781],[10092   468  3159   770],[10096   464  3171   758],[10094   466  3172   757],[10082   478  3150   779]
1,200,7,"[1015, 41, 313, 80]","[1003, 53, 305, 88]","[1010, 46, 314, 79]","[1002, 54, 291, 102]","[996, 60, 297, 96]","[1008, 48, 312, 81]",[10029   531  3085   844],[10036   524  3092   837],[10026   534  3087   842],[10035   525  3087   842],[10027   533  3091   838]
2,200,10,"[1016, 40, 307, 86]","[998, 58, 300, 93]","[1005, 51, 308, 85]","[1001, 55, 290, 103]","[1000, 56, 296, 97]","[1009, 47, 305, 88]",[10005   555  3044   885],[10001   559  3039   890],[10011   549  3047   882],[10009   551  3053   876],[9989  571 3056  873]
3,300,5,"[1019, 37, 319, 74]","[1018, 38, 314, 79]","[1015, 41, 322, 71]","[1005, 51, 296, 97]","[1008, 48, 301, 92]","[1018, 38, 323, 70]",[10097   463  3149   780],[10093   467  3160   769],[10087   473  3171   758],[10089   471  3169   760],[10087   473  3161   768]
4,300,7,"[1014, 42, 313, 80]","[1004, 52, 306, 87]","[1008, 48, 314, 79]","[1001, 55, 292, 101]","[997, 59, 296, 97]","[1008, 48, 314, 79]",[10022   538  3090   839],[10035   525  3088   841],[10023   537  3082   847],[10031   529  3091   838],[10020   540  3083   846]
5,300,10,"[1014, 42, 306, 87]","[998, 58, 301, 92]","[1005, 51, 308, 85]","[998, 58, 286, 107]","[1000, 56, 296, 97]","[1008, 48, 305, 88]",[10004   556  3045   884],[10007   553  3035   894],[10012   548  3042   887],[10005   555  3047   882],[9990  570 3052  877]
6,400,5,"[1019, 37, 319, 74]","[1018, 38, 314, 79]","[1013, 43, 321, 72]","[1007, 49, 296, 97]","[1007, 49, 301, 92]","[1016, 40, 323, 70]",[10095   465  3151   778],[10091   469  3160   769],[10093   467  3167   762],[10089   471  3172   757],[10087   473  3164   765]
7,400,7,"[1014, 42, 312, 81]","[1003, 53, 306, 87]","[1008, 48, 315, 78]","[1001, 55, 291, 102]","[995, 61, 297, 96]","[1008, 48, 314, 79]",[10020   540  3093   836],[10031   529  3090   839],[10026   534  3086   843],[10027   533  3091   838],[10020   540  3089   840]
8,400,10,"[1014, 42, 306, 87]","[998, 58, 302, 91]","[1004, 52, 308, 85]","[1001, 55, 288, 105]","[1001, 55, 296, 97]","[1008, 48, 303, 90]",[10006   554  3046   883],[10006   554  3029   900],[10013   547  3037   892],[10007   553  3054   875],[9992  568 3058  871]
9,500,5,"[1019, 37, 319, 74]","[1018, 38, 315, 78]","[1014, 42, 321, 72]","[1009, 47, 296, 97]","[1006, 50, 301, 92]","[1017, 39, 323, 70]",[10096   464  3154   775],[10093   467  3164   765],[10090   470  3165   764],[10089   471  3173   756],[10088   472  3166   763]
10,500,7,"[1013, 43, 311, 82]","[1004, 52, 307, 86]","[1009, 47, 315, 78]","[1001, 55, 291, 102]","[996, 60, 298, 95]","[1008, 48, 316, 77]",[10022   538  3097   832],[10033   527  3090   839],[10026   534  3084   845],[10030   530  3096   833],[10017   543  3089   840]
11,500,10,"[1014, 42, 306, 87]","[997, 59, 303, 90]","[1004, 52, 309, 84]","[1001, 55, 286, 107]","[1001, 55, 296, 97]","[1008, 48, 305, 88]",[10009   551  3049   880],[10001   559  3032   897],[10016   544  3038   891],[10005   555  3059   870],[9993  567 3055  874]
