,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1018, 38, 324, 69]","[1000, 56, 297, 96]","[1003, 53, 322, 71]","[1003, 53, 295, 98]","[1002, 54, 314, 79]","[1003, 53, 311, 82]",[10060   500  3144   785],[10065   495  3175   754],[10055   505  3162   767],[10064   496  3162   767],[10061   499  3158   771]
1,rbf,0.1,1.0,,"[1048, 8, 384, 9]","[1034, 22, 340, 53]","[1048, 8, 386, 7]","[1019, 37, 333, 60]","[1044, 12, 363, 30]","[1052, 4, 380, 13]",[10429   131  3705   224],[10458   102  3738   191],[10495    65  3793   136],[10430   130  3728   201],[10455   105  3738   191]
2,poly,0.1,1.0,2.0,"[1011, 45, 310, 83]","[983, 73, 284, 109]","[999, 57, 316, 77]","[978, 78, 275, 118]","[995, 61, 303, 90]","[1002, 54, 304, 89]",[9921  639 3031  898],[9902  658 3009  920],[10029   531  3109   820],[9932  628 3041  888],[9832  728 2949  980]
3,poly,0.1,1.0,3.0,"[389, 667, 119, 274]","[297, 759, 83, 310]","[291, 765, 136, 257]","[408, 648, 195, 198]","[326, 730, 120, 273]","[272, 784, 118, 275]",[3104 7456 1205 2724],[3235 7325 1294 2635],[3415 7145 1524 2405],[3478 7082 1607 2322],[3252 7308 1255 2674]
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]","[1044, 12, 373, 20]","[1052, 4, 392, 1]","[1039, 17, 377, 16]","[1055, 1, 386, 7]","[1056, 0, 392, 1]",[10512    48  3868    61],[10530    30  3868    61],[10552     8  3898    31],[10522    38  3873    56],[10533    27  3872    57]
5,poly,0.1,10.0,2.0,"[488, 568, 240, 153]","[424, 632, 178, 215]","[386, 670, 188, 205]","[398, 658, 196, 197]","[321, 735, 165, 228]","[427, 629, 195, 198]",[4154 6406 1852 2077],[4568 5992 1922 2007],[3990 6570 1584 2345],[4527 6033 1828 2101],[4157 6403 1845 2084]
6,poly,0.1,10.0,3.0,"[367, 689, 163, 230]","[412, 644, 150, 243]","[270, 786, 168, 225]","[407, 649, 210, 183]","[245, 811, 88, 305]","[254, 802, 134, 259]",[3153 7407 1414 2515],[3571 6989 1576 2353],[3482 7078 1526 2403],[3683 6877 1553 2376],[3994 6566 1674 2255]
7,linear,1.0,,,"[1018, 38, 324, 69]","[1000, 56, 296, 97]","[1003, 53, 322, 71]","[1003, 53, 294, 99]","[1002, 54, 314, 79]","[1003, 53, 311, 82]",[10060   500  3142   787],[10064   496  3175   754],[10055   505  3161   768],[10063   497  3157   772],[10059   501  3158   771]
8,rbf,1.0,1.0,,"[971, 85, 304, 89]","[973, 83, 305, 88]","[958, 98, 296, 97]","[963, 93, 272, 121]","[983, 73, 292, 101]","[982, 74, 301, 92]",[9702  858 2992  937],[9693  867 2951  978],[9685  875 2984  945],[9729  831 2981  948],[9697  863 2969  960]
9,poly,1.0,1.0,2.0,"[300, 756, 150, 243]","[545, 511, 263, 130]","[346, 710, 161, 232]","[643, 413, 244, 149]","[542, 514, 210, 183]","[401, 655, 187, 206]",[4624 5936 1970 1959],[4363 6197 1652 2277],[4621 5939 2003 1926],[4304 6256 1780 2149],[4128 6432 1691 2238]
10,poly,1.0,1.0,3.0,"[302, 754, 158, 235]","[490, 566, 211, 182]","[240, 816, 108, 285]","[344, 712, 186, 207]","[410, 646, 165, 228]","[265, 791, 134, 259]",[3196 7364 1447 2482],[4022 6538 1577 2352],[3323 7237 1512 2417],[3733 6827 1549 2380],[3363 7197 1295 2634]
11,rbf,1.0,10.0,,"[953, 103, 310, 83]","[970, 86, 309, 84]","[948, 108, 313, 80]","[954, 102, 283, 110]","[974, 82, 298, 95]","[961, 95, 319, 74]",[9577  983 3088  841],[9578  982 3038  891],[9580  980 3062  867],[9543 1017 3039  890],[9569  991 3055  874]
12,poly,1.0,10.0,2.0,"[404, 652, 184, 209]","[474, 582, 190, 203]","[387, 669, 203, 190]","[590, 466, 283, 110]","[657, 399, 247, 146]","[471, 585, 204, 189]",[5138 5422 2195 1734],[4263 6297 1668 2261],[4143 6417 1698 2231],[5364 5196 2058 1871],[4180 6380 1689 2240]
