,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1013, 43, 309, 84]","[1003, 53, 296, 97]","[998, 58, 317, 76]","[992, 64, 284, 109]","[989, 67, 302, 91]","[1006, 50, 313, 80]",[9979  581 3072  857],[10001   559  3076   853],[9984  576 3086  843],[10005   555  3091   838],[9999  561 3081  848]
1,3,75,"[1010, 46, 307, 86]","[999, 57, 293, 100]","[998, 58, 309, 84]","[994, 62, 284, 109]","[990, 66, 299, 94]","[1006, 50, 310, 83]",[9968  592 3034  895],[9991  569 3054  875],[9987  573 3081  848],[9992  568 3061  868],[9988  572 3063  866]
2,3,100,"[1011, 45, 305, 88]","[996, 60, 293, 100]","[995, 61, 308, 85]","[994, 62, 285, 108]","[989, 67, 298, 95]","[1003, 53, 306, 87]",[9958  602 3028  901],[9981  579 3047  882],[9979  581 3063  866],[9981  579 3051  878],[9983  577 3047  882]
3,3,125,"[1010, 46, 305, 88]","[995, 61, 293, 100]","[996, 60, 306, 87]","[995, 61, 284, 109]","[990, 66, 295, 98]","[1004, 52, 305, 88]",[9961  599 3019  910],[9972  588 3032  897],[9975  585 3057  872],[9970  590 3029  900],[9972  588 3041  888]
4,3,150,"[1010, 46, 302, 91]","[995, 61, 294, 99]","[994, 62, 305, 88]","[995, 61, 284, 109]","[989, 67, 295, 98]","[1002, 54, 303, 90]",[9949  611 3009  920],[9965  595 3019  910],[9972  588 3060  869],[9962  598 3021  908],[9965  595 3032  897]
5,4,50,"[1010, 46, 311, 82]","[1007, 49, 300, 93]","[994, 62, 310, 83]","[998, 58, 286, 107]","[991, 65, 297, 96]","[1010, 46, 308, 85]",[9989  571 3050  879],[9998  562 3069  860],[10005   555  3084   845],[10004   556  3074   855],[9990  570 3069  860]
6,4,75,"[1012, 44, 310, 83]","[1003, 53, 296, 97]","[994, 62, 307, 86]","[1000, 56, 289, 104]","[991, 65, 297, 96]","[1007, 49, 304, 89]",[9983  577 3035  894],[9990  570 3055  874],[9989  571 3083  846],[9993  567 3058  871],[9979  581 3057  872]
7,4,100,"[1012, 44, 308, 85]","[999, 57, 295, 98]","[994, 62, 306, 87]","[999, 57, 289, 104]","[991, 65, 297, 96]","[1006, 50, 302, 91]",[9970  590 3026  903],[9974  586 3037  892],[9985  575 3070  859],[9983  577 3055  874],[9986  574 3046  883]
8,4,125,"[1008, 48, 304, 89]","[997, 59, 293, 100]","[992, 64, 302, 91]","[998, 58, 287, 106]","[992, 64, 295, 98]","[1003, 53, 301, 92]",[9956  604 3006  923],[9966  594 3022  907],[9966  594 3066  863],[9964  596 3038  891],[9967  593 3026  903]
9,4,150,"[1007, 49, 304, 89]","[998, 58, 292, 101]","[993, 63, 298, 95]","[998, 58, 287, 106]","[989, 67, 295, 98]","[1002, 54, 298, 95]",[9948  612 2993  936],[9948  612 3012  917],[9963  597 3052  877],[9948  612 3020  909],[9953  607 3020  909]
