,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[1018, 38, 324, 69]","[1000, 56, 297, 96]","[1001, 55, 322, 71]","[1003, 53, 294, 99]","[1002, 54, 314, 79]","[1003, 53, 311, 82]",[10058   502  3141   788],[10059   501  3170   759],[10056   504  3167   762],[10061   499  3164   765],[10061   499  3156   773]
1,rbf,0.1,1.0,,50,"[1048, 8, 383, 10]","[1034, 22, 340, 53]","[1047, 9, 386, 7]","[1018, 38, 335, 58]","[1044, 12, 362, 31]","[1052, 4, 380, 13]",[10424   136  3700   229],[10447   113  3724   205],[10491    69  3790   139],[10427   133  3728   201],[10451   109  3729   200]
2,poly,0.1,1.0,2.0,50,"[1008, 48, 311, 82]","[989, 67, 286, 107]","[995, 61, 311, 82]","[986, 70, 280, 113]","[1000, 56, 304, 89]","[1005, 51, 304, 89]",[9946  614 3023  906],[9979  581 3070  859],[9991  569 3066  863],[9987  573 3076  853],[9975  585 3067  862]
3,poly,0.1,1.0,3.0,50,"[374, 682, 142, 251]","[431, 625, 171, 222]","[337, 719, 160, 233]","[404, 652, 182, 211]","[403, 653, 159, 234]","[313, 743, 159, 234]",[3818 6742 1618 2311],[3893 6667 1606 2323],[3936 6624 1623 2306],[4035 6525 1653 2276],[4018 6542 1647 2282]
4,rbf,0.1,10.0,,50,"[1056, 0, 393, 0]","[1049, 7, 374, 19]","[1050, 6, 391, 2]","[1039, 17, 379, 14]","[1055, 1, 386, 7]","[1056, 0, 392, 1]",[10511    49  3866    63],[10531    29  3866    63],[10552     8  3897    32],[10523    37  3866    63],[10538    22  3878    51]
5,poly,0.1,10.0,2.0,50,"[440, 616, 172, 221]","[468, 588, 197, 196]","[403, 653, 199, 194]","[573, 483, 269, 124]","[440, 616, 177, 216]","[394, 662, 192, 201]",[4471 6089 1958 1971],[4533 6027 1923 2006],[4463 6097 1957 1972],[4720 5840 2061 1868],[4571 5989 1960 1969]
6,poly,0.1,10.0,3.0,50,"[386, 670, 152, 241]","[370, 686, 171, 222]","[285, 771, 150, 243]","[395, 661, 198, 195]","[386, 670, 164, 229]","[266, 790, 143, 250]",[3584 6976 1605 2324],[3810 6750 1597 2332],[3752 6808 1609 2320],[3955 6605 1677 2252],[3925 6635 1592 2337]
7,linear,1.0,,,50,"[1018, 38, 324, 69]","[1000, 56, 297, 96]","[998, 58, 322, 71]","[1003, 53, 294, 99]","[1002, 54, 314, 79]","[1003, 53, 310, 83]",[10055   505  3140   789],[10060   500  3171   758],[10055   505  3164   765],[10060   500  3162   767],[10057   503  3153   776]
8,rbf,1.0,1.0,,50,"[974, 82, 302, 91]","[978, 78, 310, 83]","[956, 100, 300, 93]","[969, 87, 283, 110]","[979, 77, 287, 106]","[977, 79, 297, 96]",[9699  861 2998  931],[9646  914 2955  974],[9674  886 2983  946],[9673  887 2976  953],[9651  909 2975  954]
9,poly,1.0,1.0,2.0,50,"[451, 605, 182, 211]","[528, 528, 209, 184]","[424, 632, 190, 203]","[653, 403, 286, 107]","[500, 556, 195, 198]","[449, 607, 220, 173]",[4841 5719 2066 1863],[4821 5739 2035 1894],[4628 5932 1975 1954],[5072 5488 2181 1748],[4826 5734 2085 1844]
10,poly,1.0,1.0,3.0,50,"[362, 694, 147, 246]","[388, 668, 170, 223]","[313, 743, 152, 241]","[401, 655, 192, 201]","[403, 653, 164, 229]","[303, 753, 160, 233]",[3647 6913 1611 2318],[3788 6772 1574 2355],[3849 6711 1636 2293],[4025 6535 1683 2246],[3900 6660 1659 2270]
11,rbf,1.0,10.0,,50,"[954, 102, 313, 80]","[964, 92, 315, 78]","[948, 108, 314, 79]","[957, 99, 290, 103]","[973, 83, 298, 95]","[958, 98, 318, 75]",[9575  985 3110  819],[9589  971 3063  866],[9609  951 3076  853],[9544 1016 3052  877],[9587  973 3062  867]
12,poly,1.0,10.0,2.0,50,"[474, 582, 191, 202]","[451, 605, 184, 209]","[387, 669, 194, 199]","[576, 480, 262, 131]","[417, 639, 182, 211]","[407, 649, 191, 202]",[4489 6071 1977 1952],[4380 6180 1879 2050],[4504 6056 1914 2015],[4833 5727 2084 1845],[4623 5937 1997 1932]
