,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[791, 265, 205, 188]","[823, 233, 184, 209]","[800, 256, 191, 202]","[785, 271, 172, 221]","[748, 308, 183, 210]","[791, 265, 189, 204]",[7874 2686 1916 2013],[7926 2634 1926 2003],[7888 2672 1924 2005],[7872 2688 1905 2024],[7940 2620 1931 1998]
1,200,"[794, 262, 205, 188]","[823, 233, 184, 209]","[801, 255, 191, 202]","[787, 269, 173, 220]","[748, 308, 183, 210]","[790, 266, 190, 203]",[7880 2680 1919 2010],[7928 2632 1927 2002],[7889 2671 1926 2003],[7866 2694 1905 2024],[7935 2625 1929 2000]
2,300,"[794, 262, 205, 188]","[823, 233, 184, 209]","[800, 256, 190, 203]","[786, 270, 174, 219]","[748, 308, 183, 210]","[791, 265, 190, 203]",[7880 2680 1919 2010],[7926 2634 1928 2001],[7894 2666 1929 2000],[7866 2694 1906 2023],[7934 2626 1929 2000]
3,400,"[795, 261, 205, 188]","[824, 232, 184, 209]","[801, 255, 191, 202]","[786, 270, 174, 219]","[748, 308, 183, 210]","[790, 266, 190, 203]",[7880 2680 1920 2009],[7925 2635 1927 2002],[7894 2666 1928 2001],[7863 2697 1905 2024],[7936 2624 1931 1998]
4,500,"[793, 263, 205, 188]","[824, 232, 184, 209]","[801, 255, 191, 202]","[786, 270, 174, 219]","[748, 308, 183, 210]","[790, 266, 190, 203]",[7880 2680 1920 2009],[7926 2634 1926 2003],[7892 2668 1929 2000],[7864 2696 1905 2024],[7933 2627 1929 2000]
5,800,"[794, 262, 205, 188]","[823, 233, 184, 209]","[801, 255, 190, 203]","[786, 270, 173, 220]","[748, 308, 183, 210]","[790, 266, 190, 203]",[7882 2678 1918 2011],[7926 2634 1927 2002],[7889 2671 1927 2002],[7862 2698 1907 2022],[7933 2627 1929 2000]
6,1000,"[793, 263, 205, 188]","[823, 233, 184, 209]","[801, 255, 191, 202]","[786, 270, 173, 220]","[748, 308, 183, 210]","[790, 266, 190, 203]",[7882 2678 1919 2010],[7926 2634 1927 2002],[7888 2672 1927 2002],[7862 2698 1907 2022],[7935 2625 1929 2000]
