,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[1014, 42, 328, 65]","[1013, 43, 317, 76]","[1001, 55, 329, 64]","[1015, 41, 315, 78]","[1026, 30, 363, 30]","[1009, 47, 319, 74]",[10039   521  3211   718],[9988  572 3160  769],[10061   499  3195   734],[10085   475  3264   665],[10070   490  3206   723]
1,0.0001,100,"[1011, 45, 323, 70]","[1013, 43, 317, 76]","[1001, 55, 330, 63]","[1013, 43, 314, 79]","[1053, 3, 392, 1]","[1017, 39, 328, 65]",[10093   467  3275   654],[10022   538  3170   759],[10085   475  3228   701],[10093   467  3278   651],[10066   494  3200   729]
2,0.0001,150,"[1011, 45, 323, 70]","[1013, 43, 317, 76]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1053, 3, 392, 1]","[1017, 39, 328, 65]",[10096   464  3276   653],[10017   543  3171   758],[10069   491  3215   714],[10084   476  3264   665],[10066   494  3197   732]
3,0.001,50,"[1014, 42, 328, 65]","[1013, 43, 319, 74]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1053, 3, 392, 1]","[1017, 39, 328, 65]",[10153   407  3318   611],[10106   454  3243   686],[10130   430  3268   661],[10171   389  3339   590],[10119   441  3254   675]
4,0.001,100,"[1025, 31, 338, 55]","[1013, 43, 319, 74]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1053, 3, 392, 1]","[1017, 39, 328, 65]",[10166   394  3331   598],[10099   461  3251   678],[10130   430  3268   661],[10171   389  3339   590],[10134   426  3259   670]
5,0.001,150,"[1025, 31, 338, 55]","[1013, 43, 319, 74]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1053, 3, 392, 1]","[1017, 39, 328, 65]",[10166   394  3331   598],[10112   448  3257   672],[10130   430  3268   661],[10171   389  3339   590],[10145   415  3272   657]
6,0.01,50,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1015, 41, 349, 44]","[1056, 0, 393, 0]","[1053, 3, 392, 1]","[1056, 0, 393, 0]",[10516    44  3884    45],[10560     0  3929     0],[10560     0  3929     0],[10555     5  3928     1],[10560     0  3929     0]
7,0.01,100,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1053, 3, 392, 1]","[1056, 0, 393, 0]",[10557     3  3928     1],[10560     0  3929     0],[10560     0  3929     0],[10555     5  3928     1],[10560     0  3929     0]
8,0.01,150,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1053, 3, 392, 1]","[1056, 0, 393, 0]",[10557     3  3928     1],[10560     0  3929     0],[10560     0  3929     0],[10555     5  3928     1],[10560     0  3929     0]
