,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[1013, 43, 313, 80]","[948, 108, 263, 130]","[1000, 56, 334, 59]","[917, 139, 224, 169]","[1042, 14, 369, 24]","[1020, 36, 333, 60]",[9927  633 3128  801],[9605  955 2863 1066],[9890  670 3038  891],[9753  807 2986  943],[9934  626 3126  803]
1,0.0005,"[1011, 45, 313, 80]","[1015, 41, 316, 77]","[984, 72, 302, 91]","[999, 57, 286, 107]","[989, 67, 301, 92]","[1005, 51, 318, 75]",[10063   497  3168   761],[9995  565 3142  787],[9980  580 3102  827],[9908  652 3040  889],[9939  621 3071  858]
2,0.0008,"[1014, 42, 308, 85]","[996, 60, 293, 100]","[995, 61, 312, 81]","[1013, 43, 315, 78]","[1009, 47, 319, 74]","[1027, 29, 334, 59]",[10068   492  3176   753],[10034   526  3164   765],[9916  644 3020  909],[9868  692 2997  932],[9942  618 3058  871]
3,0.001,"[1011, 45, 308, 85]","[1003, 53, 300, 93]","[1001, 55, 328, 65]","[1018, 38, 319, 74]","[1014, 42, 314, 79]","[1026, 30, 334, 59]",[10034   526  3127   802],[10021   539  3136   793],[9981  579 3067  862],[9871  689 2987  942],[9990  570 3101  828]
4,0.002,"[1016, 40, 319, 74]","[978, 78, 276, 117]","[1013, 43, 337, 56]","[1011, 45, 302, 91]","[993, 63, 301, 92]","[1026, 30, 330, 63]",[10027   533  3118   811],[10031   529  3134   795],[10097   463  3184   745],[10026   534  3103   826],[10045   515  3150   779]
5,0.003,"[1013, 43, 317, 76]","[1018, 38, 322, 71]","[1012, 44, 337, 56]","[1015, 41, 304, 89]","[1001, 55, 302, 91]","[1029, 27, 339, 54]",[10126   434  3234   695],[10078   482  3170   759],[10057   503  3141   788],[10070   490  3157   772],[10084   476  3187   742]
6,0.004,"[1016, 40, 319, 74]","[1020, 36, 327, 66]","[1019, 37, 346, 47]","[1019, 37, 311, 82]","[1005, 51, 305, 88]","[1011, 45, 319, 74]",[10152   408  3248   681],[10090   470  3204   725],[10132   428  3223   706],[10129   431  3212   717],[10138   422  3237   692]
7,0.005,"[1020, 36, 323, 70]","[1028, 28, 334, 59]","[1020, 36, 348, 45]","[1026, 30, 323, 70]","[1024, 32, 333, 60]","[1002, 54, 307, 86]",[10169   391  3273   656],[10162   398  3287   642],[10187   373  3280   649],[10205   355  3300   629],[10202   358  3317   612]
8,0.01,"[1051, 5, 385, 8]","[1053, 3, 379, 14]","[1053, 3, 382, 11]","[1051, 5, 382, 11]","[1049, 7, 368, 25]","[1040, 16, 368, 25]",[10462    98  3749   180],[10383   177  3640   289],[10431   129  3693   236],[10438   122  3701   228],[10420   140  3673   256]
