,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
1,200,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
2,300,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
3,400,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
4,500,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
5,800,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
6,1000,"[1022, 34, 333, 60]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[1056, 0, 393, 0]","[1017, 39, 327, 66]",[10178   382  3333   596],[10129   431  3259   670],[10131   429  3262   667],[10091   469  3272   657],[10135   425  3254   675]
