,Neighbors,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,5,"[922, 134, 288, 105]",0.7051694388846712,0.43156575374618217,0.2748791040977348,0.33579483402820864
1,10,"[986, 70, 307, 86]",0.7332183035406169,0.521999785713301,0.19501145329600406,0.2837372062049358
2,12,"[971, 85, 296, 97]",0.7332735178411209,0.5224918845607587,0.193382540086536,0.2821928177588884
3,14,"[985, 71, 319, 74]",0.7351508040582511,0.5324973138916865,0.19134639857470093,0.28132938790109996
4,16,"[987, 69, 317, 76]",0.736475947270343,0.5393870103349407,0.19373886485110714,0.28478543947462726
5,20,"[992, 64, 317, 76]",0.7384912692387329,0.5484681086225269,0.20173072028505978,0.29485579244887467
