,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[922, 134, 288, 105]","[903, 153, 274, 119]","[889, 167, 289, 104]","[943, 113, 282, 111]","[853, 203, 270, 123]","[936, 120, 294, 99]",[9067 1493 2838 1091],[9107 1453 2808 1121],[9168 1392 2871 1058],[9168 1392 2847 1082],[9176 1384 2881 1048]
1,10,"[986, 70, 307, 86]","[987, 69, 321, 72]","[939, 117, 293, 100]","[986, 70, 313, 80]","[986, 70, 325, 68]","[985, 71, 326, 67]",[9832  728 3178  751],[9766  794 3084  845],[9908  652 3191  738],[9883  677 3175  754],[9898  662 3186  743]
2,12,"[971, 85, 296, 97]","[989, 67, 319, 74]","[970, 86, 305, 88]","[994, 62, 323, 70]","[985, 71, 321, 72]","[996, 60, 333, 60]",[9836  724 3168  761],[9807  753 3134  795],[9923  637 3188  741],[9859  701 3172  757],[9898  662 3184  745]
3,14,"[985, 71, 319, 74]","[989, 67, 322, 71]","[967, 89, 307, 86]","[997, 59, 323, 70]","[969, 87, 317, 76]","[1002, 54, 332, 61]",[9891  669 3230  699],[9816  744 3090  839],[9933  627 3206  723],[9940  620 3178  751],[9919  641 3182  747]
4,16,"[987, 69, 317, 76]","[995, 61, 322, 71]","[975, 81, 306, 87]","[1001, 55, 307, 86]","[976, 80, 322, 71]","[1009, 47, 335, 58]",[9920  640 3220  709],[9814  746 3082  847],[9899  661 3133  796],[9952  608 3176  753],[9963  597 3228  701]
5,20,"[992, 64, 317, 76]","[998, 58, 325, 68]","[965, 91, 305, 88]","[991, 65, 296, 97]","[987, 69, 308, 85]","[1004, 52, 329, 64]",[9897  663 3163  766],[9859  701 3092  837],[9895  665 3095  834],[9945  615 3153  776],[9941  619 3179  750]
