,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[883, 173, 227, 166]",[8759 1801 2284 1645],[8770 1790 2280 1649],[8773 1787 2278 1651],[8770 1790 2288 1641],[8810 1750 2315 1614]
1,200,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[893, 163, 232, 161]",[8769 1791 2289 1640],[8770 1790 2280 1649],[8787 1773 2293 1636],[8768 1792 2286 1643],[8812 1748 2316 1613]
2,300,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[860, 196, 229, 164]","[893, 163, 232, 161]",[8762 1798 2281 1648],[8770 1790 2280 1649],[8787 1773 2293 1636],[8768 1792 2286 1643],[8818 1742 2318 1611]
3,400,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[893, 163, 232, 161]",[8769 1791 2289 1640],[8770 1790 2281 1648],[8787 1773 2293 1636],[8768 1792 2286 1643],[8818 1742 2318 1611]
4,500,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[893, 163, 232, 161]",[8769 1791 2289 1640],[8770 1790 2281 1648],[8787 1773 2293 1636],[8769 1791 2286 1643],[8818 1742 2318 1611]
5,800,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[893, 163, 232, 161]",[8769 1791 2289 1640],[8770 1790 2281 1648],[8787 1773 2293 1636],[8770 1790 2286 1643],[8818 1742 2318 1611]
6,1000,"[887, 169, 231, 162]","[879, 177, 225, 168]","[871, 185, 226, 167]","[881, 175, 206, 187]","[867, 189, 237, 156]","[893, 163, 232, 161]",[8769 1791 2289 1640],[8770 1790 2281 1648],[8787 1773 2293 1636],[8770 1790 2286 1643],[8818 1742 2318 1611]
