,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,25,0.1,"[1029, 27, 332, 61]",0.744343985092139,0.6241226193534566,0.14385339781114787,0.23381364521805437
1,25,0.2,"[1015, 41, 324, 69]",0.7463869142107806,0.6070080809994423,0.1836599643675235,0.2819955429159746
2,25,0.3,"[1014, 42, 318, 75]",0.7470494858168266,0.6052348788731845,0.19322982947314837,0.2929352597931473
3,25,0.4,"[1056, 0, 393, 0]",0.7287873559251846,0.39999999999999997,0.00025451768897938407,0.0005086987564997738
4,25,0.5,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
5,50,0.1,"[1015, 41, 325, 68]",0.7463869142107805,0.6074053533605128,0.1831000254517689,0.2813779192188165
6,50,0.2,"[1014, 42, 316, 77]",0.7476154323969908,0.6059546623895777,0.19811656910155256,0.2986034501741849
7,50,0.3,"[1013, 43, 311, 82]",0.7487197184070674,0.6080723429997242,0.2063629422244846,0.30814517828426247
8,50,0.4,"[753, 303, 167, 226]",0.6664780178066119,0.41774418838510224,0.583863578518707,0.487028057224273
9,50,0.5,"[38, 1018, 5, 388]",0.29263579267030165,0.2751594077074801,0.984270806821074,0.43008555191789943
10,75,0.1,"[1014, 42, 318, 75]",0.7470356822417006,0.6052404428338577,0.19307711885976078,0.29276025746396506
11,75,0.2,"[1013, 43, 311, 82]",0.7487059148319415,0.6080131007556916,0.2063120386866887,0.30808074292533394
12,75,0.3,"[1013, 43, 311, 82]",0.748830147008075,0.605505503483003,0.21165691015525576,0.31366881009237296
13,75,0.4,"[1056, 0, 393, 0]",0.7292704810545931,0.7049811463046758,0.002799694578773225,0.00557703992428465
14,75,0.5,"[1056, 0, 393, 0]",0.7288287666505625,0.0,0.0,0.0
