,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1056, 0, 393, 0]","[1024, 32, 333, 60]",[10230   330  3400   529],[10191   369  3335   594],[10191   369  3335   594],[10231   329  3408   521],[10191   369  3335   594]
1,1,"[50, 100, 150]",100,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1056, 0, 393, 0]","[1024, 32, 333, 60]",[10230   330  3400   529],[10191   369  3335   594],[10191   369  3335   594],[10231   329  3408   521],[10191   369  3335   594]
2,1,"[50, 100, 150]",150,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1056, 0, 393, 0]","[1024, 32, 333, 60]",[10230   330  3400   529],[10191   369  3335   594],[10191   369  3335   594],[10231   329  3408   521],[10191   369  3335   594]
3,1,"[50, 100, 150]",50,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1012, 44, 349, 44]","[1018, 38, 321, 72]","[1028, 28, 363, 30]","[1024, 32, 333, 60]",[10197   363  3369   560],[10187   373  3328   601],[10187   373  3332   597],[10203   357  3382   547],[10186   374  3331   598]
4,1,"[50, 100, 150]",100,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1012, 44, 349, 44]","[1018, 38, 321, 72]","[1028, 28, 363, 30]","[1024, 32, 333, 60]",[10197   363  3369   560],[10187   373  3329   600],[10189   371  3333   596],[10202   358  3382   547],[10186   374  3331   598]
5,1,"[50, 100, 150]",150,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1012, 44, 349, 44]","[1018, 38, 321, 72]","[1028, 28, 363, 30]","[1024, 32, 333, 60]",[10197   363  3369   560],[10189   371  3333   596],[10189   371  3333   596],[10202   358  3382   547],[10186   374  3331   598]
6,1,"[50, 100, 150]",50,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[1002, 54, 337, 56]","[1024, 32, 332, 61]",[10162   398  3327   602],[10176   384  3312   617],[10180   380  3316   613],[10172   388  3346   583],[10171   389  3315   614]
7,1,"[50, 100, 150]",100,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[1002, 54, 337, 56]","[1024, 32, 332, 61]",[10162   398  3327   602],[10176   384  3312   617],[10180   380  3316   613],[10171   389  3346   583],[10167   393  3313   616]
8,1,"[50, 100, 150]",150,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[1002, 54, 337, 56]","[1024, 32, 332, 61]",[10162   398  3327   602],[10176   384  3312   617],[10181   379  3316   613],[10171   389  3346   583],[10167   393  3312   617]
9,2,"[50, 100, 150]",50,"[1026, 30, 340, 53]","[1020, 36, 324, 69]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[991, 65, 331, 62]","[1023, 33, 331, 62]",[10144   416  3318   611],[10133   427  3294   635],[10166   394  3311   618],[10145   415  3341   588],[10165   395  3311   618]
10,2,"[50, 100, 150]",100,"[1015, 41, 330, 63]","[1020, 36, 324, 69]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[991, 65, 331, 62]","[1023, 33, 331, 62]",[10133   427  3308   621],[10136   424  3294   635],[10166   394  3311   618],[10145   415  3341   588],[10179   381  3316   613]
11,2,"[50, 100, 150]",150,"[1026, 30, 340, 53]","[1020, 36, 324, 69]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[991, 65, 331, 62]","[1023, 33, 331, 62]",[10144   416  3318   611],[10149   411  3300   629],[10166   394  3311   618],[10144   416  3340   589],[10179   381  3316   613]
12,2,"[50, 100, 150]",50,"[1027, 29, 341, 52]","[1013, 43, 317, 76]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10124   436  3282   647],[10112   448  3253   676],[10129   431  3272   657],[10107   453  3292   637],[10142   418  3268   661]
13,2,"[50, 100, 150]",100,"[1027, 29, 341, 52]","[1013, 43, 317, 76]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10124   436  3282   647],[10111   449  3254   675],[10129   431  3272   657],[10107   453  3293   636],[10142   418  3265   664]
14,2,"[50, 100, 150]",150,"[1027, 29, 341, 52]","[1013, 43, 317, 76]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10124   436  3282   647],[10111   449  3254   675],[10129   431  3271   658],[10107   453  3293   636],[10142   418  3265   664]
15,2,"[50, 100, 150]",50,"[1013, 43, 326, 67]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10069   491  3247   682],[10105   455  3248   681],[10121   439  3260   669],[10102   458  3287   642],[10138   422  3259   670]
16,2,"[50, 100, 150]",100,"[1013, 43, 326, 67]","[1013, 43, 317, 76]","[1008, 48, 338, 55]","[1013, 43, 314, 79]","[993, 63, 331, 62]","[1017, 39, 327, 66]",[10082   478  3254   675],[10070   490  3224   705],[10121   439  3258   671],[10103   457  3288   641],[10137   423  3259   670]
