,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[991, 65, 294, 99]","[1014, 42, 315, 78]","[1015, 41, 348, 45]","[1012, 44, 310, 83]","[971, 85, 287, 106]","[1038, 18, 352, 41]",[10034   526  3176   753],[10037   523  3173   756],[9904  656 3034  895],[10036   524  3203   726],[10036   524  3182   747]
1,0.0005,"[1018, 38, 325, 68]","[978, 78, 277, 116]","[1005, 51, 332, 61]","[987, 69, 293, 100]","[1028, 28, 340, 53]","[1020, 36, 324, 69]",[10066   494  3171   758],[9994  566 3113  816],[9895  665 3015  914],[9879  681 3005  924],[9929  631 3061  868]
2,0.0008,"[1017, 39, 325, 68]","[967, 89, 271, 122]","[1005, 51, 333, 60]","[994, 62, 296, 97]","[989, 67, 300, 93]","[1020, 36, 324, 69]",[10024   536  3128   801],[9982  578 3102  827],[10061   499  3189   740],[9968  592 3063  866],[9981  579 3122  807]
3,0.001,"[1021, 35, 330, 63]","[988, 68, 290, 103]","[1013, 43, 344, 49]","[996, 60, 300, 93]","[1005, 51, 316, 77]","[1021, 35, 326, 67]",[10103   457  3209   720],[10015   545  3147   782],[10057   503  3194   735],[9995  565 3104  825],[10020   540  3154   775]
4,0.002,"[1020, 36, 329, 64]","[1018, 38, 318, 75]","[1021, 35, 348, 45]","[1017, 39, 316, 77]","[990, 66, 300, 93]","[1003, 53, 302, 91]",[10136   424  3244   685],[10075   485  3192   737],[10135   425  3215   714],[10105   455  3223   706],[10073   487  3188   741]
5,0.003,"[1024, 32, 331, 62]","[1026, 30, 324, 69]","[1021, 35, 348, 45]","[1017, 39, 322, 71]","[1006, 50, 316, 77]","[1026, 30, 329, 64]",[10197   363  3306   623],[10145   415  3272   657],[10144   416  3270   659],[10137   423  3226   703],[10146   414  3272   657]
6,0.004,"[1025, 31, 340, 53]","[1026, 30, 325, 68]","[1024, 32, 353, 40]","[1022, 34, 323, 70]","[1023, 33, 332, 61]","[1030, 26, 336, 57]",[10232   328  3349   580],[10210   350  3326   603],[10159   401  3289   640],[10187   373  3286   643],[10154   406  3279   650]
7,0.005,"[1028, 28, 346, 47]","[1033, 23, 336, 57]","[1024, 32, 353, 40]","[1026, 30, 327, 66]","[1028, 28, 335, 58]","[1030, 26, 336, 57]",[10264   296  3398   531],[10243   317  3372   557],[10202   358  3335   594],[10212   348  3317   612],[10193   367  3327   602]
8,0.01,"[1032, 24, 359, 34]","[1051, 5, 373, 20]","[1030, 26, 365, 28]","[1046, 10, 370, 23]","[1051, 5, 374, 19]","[1042, 14, 352, 41]",[10417   143  3657   272],[10423   137  3700   229],[10455   105  3709   220],[10387   173  3660   269],[10420   140  3704   225]
