,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[980, 76, 283, 110]",0.7441093243149977,0.5737758036784727,0.21985237974039196,0.31778361187317666
1,linear,1000.0,,,50,0.5,"[994, 62, 296, 97]",0.7439436814134861,0.5723703299608177,0.2208704504963095,0.31869968443981206
