,N_Estimators,Max_Depth,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,200,5,"[1015, 41, 315, 78]",0.7497135758161363,0.6137556960424098,0.20778824128276913,0.3104614043830181
1,200,7,"[1013, 43, 311, 82]",0.7500448616191593,0.6094456352113439,0.21791804530414866,0.3210253812498937
2,200,10,"[1014, 42, 310, 83]",0.7514942370073849,0.6119644857665347,0.22845507762789516,0.3326960330956032
3,300,5,"[1016, 40, 315, 78]",0.7495065221892471,0.612740894098201,0.2072283023670145,0.3097078186414629
4,300,7,"[1014, 42, 311, 82]",0.7501000759196631,0.6101990708699734,0.21720539577500636,0.3203632441186516
5,300,10,"[1013, 43, 309, 84]",0.7513147905307476,0.6106613901669862,0.22881140239246628,0.332882117154463
6,400,5,"[1015, 41, 315, 78]",0.749534129339499,0.6130346453309924,0.2070755917536269,0.3095735250977492
7,400,7,"[1014, 42, 311, 82]",0.750169093795293,0.6103042771041542,0.21771443115296513,0.3209276359730107
8,400,10,"[1015, 41, 311, 82]",0.7516322727586445,0.6124612194068986,0.2290150165436498,0.33336517978950486
9,500,5,"[1016, 40, 314, 79]",0.7495065221892471,0.6128131177298041,0.20712649529142274,0.3096028660702085
10,500,7,"[1013, 43, 311, 82]",0.7500034508937815,0.609445866872746,0.21745991346398577,0.32052887719314194
11,500,10,"[1013, 43, 310, 83]",0.7513423976809993,0.6109192343839609,0.22865869177907863,0.33275907500292023
