,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[828, 228, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[763, 293, 194, 199]","[804, 252, 199, 194]",[8081 2479 2009 1920],[8074 2486 2007 1922],[8091 2469 2009 1920],[8124 2436 2016 1913],[8193 2367 2052 1877]
1,200,"[829, 227, 219, 174]","[835, 221, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[763, 293, 195, 198]","[804, 252, 199, 194]",[8082 2478 2011 1918],[8077 2483 2007 1922],[8094 2466 2008 1921],[8127 2433 2017 1912],[8189 2371 2049 1880]
2,300,"[829, 227, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[763, 293, 195, 198]","[804, 252, 199, 194]",[8083 2477 2011 1918],[8077 2483 2008 1921],[8095 2465 2011 1918],[8126 2434 2016 1913],[8189 2371 2049 1880]
3,400,"[830, 226, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[764, 292, 196, 197]","[804, 252, 199, 194]",[8087 2473 2012 1917],[8078 2482 2010 1919],[8098 2462 2011 1918],[8127 2433 2017 1912],[8192 2368 2052 1877]
4,500,"[829, 227, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[764, 292, 196, 197]","[804, 252, 199, 194]",[8087 2473 2013 1916],[8077 2483 2009 1920],[8097 2463 2010 1919],[8126 2434 2016 1913],[8190 2370 2049 1880]
5,800,"[830, 226, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[764, 292, 196, 197]","[803, 253, 199, 194]",[8086 2474 2013 1916],[8078 2482 2010 1919],[8094 2466 2011 1918],[8126 2434 2018 1911],[8191 2369 2051 1878]
6,1000,"[830, 226, 219, 174]","[836, 220, 191, 202]","[821, 235, 200, 193]","[806, 250, 184, 209]","[764, 292, 196, 197]","[804, 252, 199, 194]",[8088 2472 2012 1917],[8078 2482 2009 1920],[8094 2466 2011 1918],[8127 2433 2019 1910],[8190 2370 2051 1878]
