,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,"[321, 735, 175, 218]","[452, 604, 192, 201]","[580, 476, 206, 187]","[491, 565, 184, 209]","[558, 498, 205, 188]","[465, 591, 204, 189]",[4453 6107 1796 2133],[3805 6755 1649 2280],[4207 6353 1735 2194],[4245 6315 1798 2131],[4643 5917 1750 2179]
20,poly,10.0,10.0,3.0,"[490, 566, 215, 178]","[382, 674, 154, 239]","[188, 868, 71, 322]","[357, 699, 176, 217]","[433, 623, 145, 248]","[295, 761, 124, 269]",[3868 6692 1504 2425],[3544 7016 1468 2461],[3991 6569 1700 2229],[3748 6812 1472 2457],[4069 6491 1601 2328]
21,linear,100.0,,,"[1009, 47, 318, 75]","[995, 61, 302, 91]","[954, 102, 274, 119]","[979, 77, 268, 125]","[1025, 31, 332, 61]","[985, 71, 287, 106]",[9952  608 3075  854],[9792  768 2930  999],[9970  590 3086  843],[9960  600 3076  853],[9980  580 3075  854]
22,rbf,100.0,1.0,,"[979, 77, 315, 78]","[970, 86, 320, 73]","[946, 110, 327, 66]","[969, 87, 314, 79]","[1010, 46, 334, 59]","[955, 101, 298, 95]",[9689  871 3199  730],[9588  972 3216  713],[9689  871 3241  688],[9599  961 3180  749],[9684  876 3248  681]
23,poly,100.0,1.0,2.0,"[507, 549, 201, 192]","[361, 695, 151, 242]","[526, 530, 228, 165]","[426, 630, 199, 194]","[334, 722, 173, 220]","[440, 616, 211, 182]",[4132 6428 1775 2154],[4241 6319 1714 2215],[4457 6103 1738 2191],[4422 6138 1835 2094],[4650 5910 1811 2118]
24,poly,100.0,1.0,3.0,"[327, 729, 141, 252]","[374, 682, 148, 245]","[287, 769, 156, 237]","[437, 619, 216, 177]","[504, 552, 167, 226]","[543, 513, 202, 191]",[3999 6561 1624 2305],[4467 6093 1830 2099],[4458 6102 1724 2205],[4259 6301 1619 2310],[4533 6027 1780 2149]
25,rbf,100.0,10.0,,"[1028, 28, 368, 25]","[1018, 38, 360, 33]","[1024, 32, 370, 23]","[1026, 30, 365, 28]","[1042, 14, 378, 15]","[1010, 46, 369, 24]",[10232   328  3671   258],[10218   342  3704   225],[10235   325  3695   234],[10178   382  3648   281],[10244   316  3695   234]
26,poly,100.0,10.0,2.0,"[628, 428, 174, 219]","[477, 579, 143, 250]","[383, 673, 145, 248]","[491, 565, 184, 209]","[458, 598, 216, 177]","[375, 681, 153, 240]",[4591 5969 1738 2191],[4337 6223 1739 2190],[4574 5986 1688 2241],[3950 6610 1684 2245],[4445 6115 1754 2175]
27,poly,100.0,10.0,3.0,"[313, 743, 119, 274]","[9, 1047, 5, 388]","[1053, 3, 392, 1]","[344, 712, 165, 228]","[349, 707, 122, 271]","[113, 943, 38, 355]",[4374 6186 1621 2308],[2273 8287  899 3030],[3153 7407 1282 2647],[3186 7374 1297 2632],[2456 8104 1132 2797]
28,linear,1000.0,,,"[631, 425, 166, 227]","[799, 257, 201, 192]","[679, 377, 175, 218]","[792, 264, 216, 177]","[584, 472, 184, 209]","[996, 60, 368, 25]",[8067 2493 2574 1355],[8417 2143 2716 1213],[6607 3953 1975 1954],[8023 2537 2533 1396],[8193 2367 2515 1414]
29,rbf,1000.0,1.0,,"[981, 75, 315, 78]","[971, 85, 320, 73]","[946, 110, 327, 66]","[969, 87, 314, 79]","[1010, 46, 334, 59]","[955, 101, 298, 95]",[9692  868 3199  730],[9587  973 3216  713],[9690  870 3241  688],[9601  959 3179  750],[9684  876 3248  681]
30,poly,1000.0,1.0,2.0,"[416, 640, 129, 264]","[352, 704, 161, 232]","[494, 562, 154, 239]","[426, 630, 199, 194]","[619, 437, 225, 168]","[406, 650, 139, 254]",[4671 5889 1688 2241],[4111 6449 1674 2255],[4844 5716 1756 2173],[4397 6163 1746 2183],[4492 6068 1682 2247]
31,poly,1000.0,1.0,3.0,"[565, 491, 175, 218]","[415, 641, 180, 213]","[307, 749, 151, 242]","[419, 637, 199, 194]","[519, 537, 195, 198]","[374, 682, 140, 253]",[4350 6210 1686 2243],[4342 6218 1741 2188],[4059 6501 1623 2306],[4639 5921 1710 2219],[4024 6536 1605 2324]
32,rbf,1000.0,10.0,,"[1028, 28, 368, 25]","[1018, 38, 360, 33]","[1024, 32, 370, 23]","[1026, 30, 365, 28]","[1042, 14, 378, 15]","[1010, 46, 369, 24]",[10232   328  3671   258],[10218   342  3704   225],[10235   325  3695   234],[10178   382  3648   281],[10244   316  3695   234]
33,poly,1000.0,10.0,2.0,"[691, 365, 202, 191]","[488, 568, 182, 211]","[494, 562, 154, 239]","[491, 565, 184, 209]","[607, 449, 245, 148]","[362, 694, 175, 218]",[5075 5485 1905 2024],[4160 6400 1693 2236],[4524 6036 1654 2275],[4092 6468 1837 2092],[4159 6401 1668 2261]
34,poly,1000.0,10.0,3.0,"[70, 986, 41, 352]","[9, 1047, 5, 388]","[1053, 3, 392, 1]","[0, 1056, 0, 393]","[433, 623, 145, 248]","[113, 943, 38, 355]",[3159 7401 1201 2728],[3302 7258 1237 2692],[2566 7994  928 3001],[2653 7907 1036 2893],[1903 8657  832 3097]
