,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[50, 100, 150]",50,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1028, 28, 358, 35]","[1027, 29, 334, 59]","[1036, 20, 345, 48]","[1036, 20, 347, 46]",[10309   251  3474   455],[10307   253  3474   455],[10323   237  3487   442],[10318   242  3503   426],[10320   240  3493   436]
1,1,"[50, 100, 150]",100,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1029, 27, 358, 35]","[1027, 29, 334, 59]","[1035, 21, 345, 48]","[1036, 20, 345, 48]",[10309   251  3473   456],[10315   245  3478   451],[10324   236  3484   445],[10318   242  3501   428],[10322   238  3498   431]
2,1,"[50, 100, 150]",150,"[1031, 25, 354, 39]","[1038, 18, 345, 48]","[1030, 26, 359, 34]","[1027, 29, 334, 59]","[1036, 20, 346, 47]","[1038, 18, 347, 46]",[10313   247  3477   452],[10315   245  3482   447],[10324   236  3486   443],[10321   239  3505   424],[10325   235  3502   427]
3,1,"[50, 100, 150]",50,"[1027, 29, 341, 52]","[1029, 27, 332, 61]","[1019, 37, 348, 45]","[1024, 32, 326, 67]","[1020, 36, 334, 59]","[1031, 25, 343, 50]",[10250   310  3375   554],[10250   310  3377   552],[10259   301  3383   546],[10263   297  3388   541],[10262   298  3384   545]
4,1,"[50, 100, 150]",100,"[1027, 29, 341, 52]","[1029, 27, 332, 61]","[1019, 37, 349, 44]","[1023, 33, 327, 66]","[1024, 32, 336, 57]","[1032, 24, 344, 49]",[10254   306  3381   548],[10253   307  3379   550],[10259   301  3386   543],[10264   296  3388   541],[10261   299  3385   544]
5,1,"[50, 100, 150]",150,"[1027, 29, 341, 52]","[1029, 27, 332, 61]","[1019, 37, 349, 44]","[1023, 33, 327, 66]","[1021, 35, 335, 58]","[1033, 23, 344, 49]",[10254   306  3380   549],[10255   305  3385   544],[10259   301  3384   545],[10264   296  3387   542],[10265   295  3390   539]
6,1,"[50, 100, 150]",50,"[1022, 34, 327, 66]","[1018, 38, 318, 75]","[1013, 43, 337, 56]","[1014, 42, 309, 84]","[1012, 44, 320, 73]","[1022, 34, 330, 63]",[10166   394  3250   679],[10163   397  3250   679],[10171   389  3264   665],[10186   374  3265   664],[10173   387  3261   668]
7,1,"[50, 100, 150]",100,"[1022, 34, 327, 66]","[1017, 39, 318, 75]","[1013, 43, 341, 52]","[1014, 42, 309, 84]","[1014, 42, 321, 72]","[1022, 34, 330, 63]",[10169   391  3255   674],[10171   389  3254   675],[10176   384  3263   666],[10190   370  3265   664],[10174   386  3260   669]
8,1,"[50, 100, 150]",150,"[1022, 34, 327, 66]","[1017, 39, 318, 75]","[1013, 43, 340, 53]","[1014, 42, 309, 84]","[1013, 43, 321, 72]","[1022, 34, 331, 62]",[10167   393  3254   675],[10169   391  3256   673],[10173   387  3269   660],[10188   372  3267   662],[10174   386  3262   667]
9,2,"[50, 100, 150]",50,"[1021, 35, 323, 70]","[1017, 39, 315, 78]","[1016, 40, 336, 57]","[1011, 45, 304, 89]","[1010, 46, 315, 78]","[1020, 36, 331, 62]",[10124   436  3221   708],[10128   432  3216   713],[10129   431  3232   697],[10148   412  3233   696],[10134   426  3234   695]
