,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[991, 65, 293, 100]","[959, 97, 270, 123]","[951, 105, 281, 112]","[1008, 48, 302, 91]","[965, 91, 326, 67]","[996, 60, 303, 90]",[9291 1269 2788 1141],[9786  774 3030  899],[9673  887 3149  780],[9520 1040 2985  944],[9831  729 3040  889]
1,10,"[999, 57, 305, 88]","[959, 97, 272, 121]","[993, 63, 320, 73]","[1008, 48, 302, 91]","[1027, 29, 373, 20]","[997, 59, 304, 89]",[9907  653 3114  815],[9901  659 3115  814],[9988  572 3224  705],[9843  717 3106  823],[9977  583 3203  726]
2,12,"[998, 58, 303, 90]","[983, 73, 319, 74]","[993, 63, 320, 73]","[1006, 50, 301, 92]","[1021, 35, 362, 31]","[990, 66, 290, 103]",[9948  612 3171  758],[9870  690 3074  855],[9952  608 3205  724],[9870  690 3173  756],[9901  659 3112  817]
3,14,"[995, 61, 298, 95]","[991, 65, 330, 63]","[963, 93, 284, 109]","[1037, 19, 365, 28]","[1021, 35, 361, 32]","[990, 66, 290, 103]",[9906  654 3153  776],[9864  696 3044  885],[9963  597 3190  739],[9882  678 3179  750],[9849  711 3029  900]
4,16,"[995, 61, 298, 95]","[991, 65, 330, 63]","[963, 93, 284, 109]","[1019, 37, 348, 45]","[1021, 35, 362, 31]","[989, 67, 289, 104]",[9893  667 3141  788],[9828  732 3012  917],[9940  620 3151  778],[9894  666 3149  780],[9907  653 3091  838]
5,20,"[995, 61, 298, 95]","[1016, 40, 344, 49]","[993, 63, 319, 74]","[1000, 56, 306, 87]","[1032, 24, 367, 26]","[1012, 44, 321, 72]",[10000   560  3224   705],[9886  674 3055  874],[10047   513  3252   677],[9932  628 3204  725],[9923  637 3065  864]
