,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,100,"[791, 265, 200, 193]","[805, 251, 178, 215]","[791, 265, 188, 205]","[781, 275, 171, 222]","[746, 310, 183, 210]","[786, 270, 185, 208]",[7797 2763 1877 2052],[7793 2767 1878 2051],[7797 2763 1876 2053],[7794 2766 1882 2047],[7796 2764 1875 2054]
1,200,"[792, 264, 200, 193]","[805, 251, 179, 214]","[792, 264, 187, 206]","[782, 274, 172, 221]","[747, 309, 183, 210]","[786, 270, 185, 208]",[7802 2758 1879 2050],[7794 2766 1883 2046],[7804 2756 1877 2052],[7794 2766 1882 2047],[7797 2763 1875 2054]
2,300,"[792, 264, 200, 193]","[804, 252, 179, 214]","[791, 265, 187, 206]","[782, 274, 172, 221]","[746, 310, 183, 210]","[785, 271, 185, 208]",[7800 2760 1878 2051],[7795 2765 1880 2049],[7805 2755 1876 2053],[7793 2767 1882 2047],[7798 2762 1877 2052]
3,400,"[792, 264, 200, 193]","[804, 252, 179, 214]","[793, 263, 187, 206]","[781, 275, 173, 220]","[746, 310, 183, 210]","[786, 270, 185, 208]",[7803 2757 1880 2049],[7793 2767 1882 2047],[7802 2758 1878 2051],[7795 2765 1882 2047],[7798 2762 1878 2051]
4,500,"[792, 264, 200, 193]","[804, 252, 179, 214]","[793, 263, 188, 205]","[781, 275, 172, 221]","[746, 310, 183, 210]","[785, 271, 185, 208]",[7801 2759 1880 2049],[7792 2768 1881 2048],[7802 2758 1877 2052],[7793 2767 1881 2048],[7798 2762 1879 2050]
5,800,"[792, 264, 200, 193]","[804, 252, 179, 214]","[792, 264, 187, 206]","[781, 275, 172, 221]","[747, 309, 183, 210]","[785, 271, 185, 208]",[7801 2759 1880 2049],[7793 2767 1882 2047],[7805 2755 1877 2052],[7794 2766 1883 2046],[7796 2764 1877 2052]
6,1000,"[792, 264, 200, 193]","[804, 252, 179, 214]","[792, 264, 187, 206]","[781, 275, 171, 222]","[746, 310, 183, 210]","[785, 271, 185, 208]",[7801 2759 1879 2050],[7796 2764 1881 2048],[7803 2757 1876 2053],[7793 2767 1882 2047],[7796 2764 1879 2050]
