,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,3,"[50, 100, 150]",100,"[1010, 46, 311, 82]","[1003, 53, 298, 95]","[1001, 55, 318, 75]","[1001, 55, 297, 96]","[980, 76, 296, 97]","[1010, 46, 319, 74]",[9994  566 3110  819],[9986  574 3090  839],[10000   560  3108   821],[10002   558  3105   824],[9976  584 3086  843]
20,3,"[50, 100, 150]",150,"[1011, 45, 313, 80]","[1003, 53, 298, 95]","[1001, 55, 318, 75]","[1001, 55, 297, 96]","[980, 76, 296, 97]","[1010, 46, 319, 74]",[9994  566 3109  820],[9994  566 3091  838],[10005   555  3106   823],[10011   549  3106   823],[9983  577 3090  839]
21,3,"[50, 100, 150]",50,"[1008, 48, 308, 85]","[1000, 56, 298, 95]","[997, 59, 316, 77]","[995, 61, 291, 102]","[979, 77, 295, 98]","[1004, 52, 309, 84]",[9943  617 3060  869],[9956  604 3064  865],[9964  596 3065  864],[9956  604 3057  872],[9949  611 3051  878]
22,3,"[50, 100, 150]",100,"[1008, 48, 308, 85]","[999, 57, 298, 95]","[997, 59, 316, 77]","[995, 61, 291, 102]","[979, 77, 295, 98]","[1004, 52, 309, 84]",[9942  618 3063  866],[9956  604 3065  864],[9956  604 3055  874],[9955  605 3063  866],[9946  614 3050  879]
23,3,"[50, 100, 150]",150,"[1007, 49, 307, 86]","[999, 57, 297, 96]","[997, 59, 316, 77]","[995, 61, 291, 102]","[979, 77, 295, 98]","[1004, 52, 309, 84]",[9942  618 3061  868],[9950  610 3064  865],[9947  613 3046  883],[9954  606 3064  865],[9960  600 3062  867]
24,3,"[50, 100, 150]",50,"[1007, 49, 307, 86]","[999, 57, 298, 95]","[997, 59, 314, 79]","[995, 61, 289, 104]","[979, 77, 295, 98]","[1003, 53, 309, 84]",[9935  625 3052  877],[9936  624 3032  897],[9947  613 3040  889],[9950  610 3051  878],[9942  618 3040  889]
25,3,"[50, 100, 150]",100,"[1007, 49, 306, 87]","[999, 57, 298, 95]","[997, 59, 314, 79]","[995, 61, 289, 104]","[981, 75, 295, 98]","[1003, 53, 309, 84]",[9940  620 3050  879],[9937  623 3035  894],[9952  608 3047  882],[9947  613 3050  879],[9940  620 3039  890]
26,3,"[50, 100, 150]",150,"[1007, 49, 306, 87]","[999, 57, 298, 95]","[997, 59, 314, 79]","[995, 61, 289, 104]","[981, 75, 295, 98]","[1003, 53, 311, 82]",[9940  620 3052  877],[9940  620 3037  892],[9947  613 3045  884],[9943  617 3052  877],[9938  622 3039  890]
27,4,"[50, 100, 150]",50,"[1010, 46, 309, 84]","[1002, 54, 298, 95]","[998, 58, 316, 77]","[995, 61, 293, 100]","[980, 76, 296, 97]","[1004, 52, 307, 86]",[9953  607 3068  861],[9973  587 3076  853],[9981  579 3081  848],[9969  591 3077  852],[9969  591 3066  863]
28,4,"[50, 100, 150]",100,"[1011, 45, 311, 82]","[1002, 54, 297, 96]","[998, 58, 316, 77]","[995, 61, 292, 101]","[980, 76, 296, 97]","[1005, 51, 312, 81]",[9954  606 3075  854],[9982  578 3081  848],[9965  595 3069  860],[9970  590 3081  848],[9958  602 3066  863]
29,4,"[50, 100, 150]",150,"[1011, 45, 311, 82]","[1002, 54, 297, 96]","[998, 58, 316, 77]","[995, 61, 293, 100]","[982, 74, 296, 97]","[1005, 51, 312, 81]",[9953  607 3073  856],[9983  577 3082  847],[9965  595 3072  857],[9969  591 3075  854],[9971  589 3072  857]
30,4,"[50, 100, 150]",50,"[1005, 51, 303, 90]","[996, 60, 298, 95]","[998, 58, 314, 79]","[992, 64, 290, 103]","[981, 75, 295, 98]","[1004, 52, 307, 86]",[9935  625 3049  880],[9958  602 3041  888],[9962  598 3058  871],[9954  606 3045  884],[9945  615 3044  885]
31,4,"[50, 100, 150]",100,"[1004, 52, 302, 91]","[999, 57, 298, 95]","[998, 58, 314, 79]","[993, 63, 290, 103]","[981, 75, 295, 98]","[1004, 52, 309, 84]",[9939  621 3046  883],[9957  603 3041  888],[9959  601 3052  877],[9949  611 3044  885],[9949  611 3049  880]
32,4,"[50, 100, 150]",150,"[1004, 52, 302, 91]","[999, 57, 297, 96]","[998, 58, 314, 79]","[992, 64, 291, 102]","[981, 75, 295, 98]","[1004, 52, 309, 84]",[9938  622 3046  883],[9953  607 3039  890],[9955  605 3048  881],[9948  612 3041  888],[9951  609 3053  876]
33,4,"[50, 100, 150]",50,"[1005, 51, 303, 90]","[996, 60, 297, 96]","[999, 57, 314, 79]","[993, 63, 288, 105]","[980, 76, 295, 98]","[1003, 53, 309, 84]",[9933  627 3052  877],[9950  610 3032  897],[9958  602 3049  880],[9951  609 3045  884],[9948  612 3054  875]
34,4,"[50, 100, 150]",100,"[1004, 52, 301, 92]","[999, 57, 297, 96]","[999, 57, 314, 79]","[994, 62, 292, 101]","[980, 76, 295, 98]","[1006, 50, 310, 83]",[9939  621 3047  882],[9952  608 3036  893],[9955  605 3045  884],[9951  609 3043  886],[9947  613 3054  875]
35,4,"[50, 100, 150]",150,"[1005, 51, 301, 92]","[999, 57, 298, 95]","[999, 57, 314, 79]","[994, 62, 293, 100]","[981, 75, 296, 97]","[1006, 50, 310, 83]",[9945  615 3053  876],[9948  612 3039  890],[9948  612 3042  887],[9950  610 3039  890],[9946  614 3054  875]
