,Alpha,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,50,"[1012, 44, 312, 81]",0.7489405756090827,0.5958893517742199,0.23064392975311784,0.33250382658038635
1,0.0001,100,"[1012, 44, 315, 78]",0.7494927186141209,0.5979875784195916,0.23257826418936114,0.33487932253542196
2,0.0001,150,"[1012, 44, 317, 76]",0.7494375043136172,0.5971728717450272,0.23359633494527868,0.33581701983299517
3,0.001,50,"[1014, 42, 314, 79]",0.7496031472151288,0.6116957101286886,0.20982438279460425,0.31245808471195546
4,0.001,100,"[1015, 41, 319, 74]",0.7496169507902548,0.611268415322339,0.21063883939933822,0.31330325253252467
5,0.001,150,"[1015, 41, 319, 74]",0.7500448616191594,0.6134680204917037,0.21155510307966408,0.31460673626345864
6,0.01,50,"[1048, 8, 375, 18]",0.7350265718821175,0.6929826024435428,0.041079155001272585,0.07754290435468383
7,0.01,100,"[1049, 7, 379, 14]",0.734860928980606,0.6980593116290041,0.039195724102825145,0.07421961277242263
8,0.01,150,"[1049, 7, 381, 12]",0.7348057146801021,0.6980040200494649,0.038839399338254005,0.07357921101722384
