,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[939, 117, 272, 121]","[902, 154, 270, 123]","[913, 143, 273, 120]","[917, 139, 271, 122]","[943, 113, 273, 120]","[920, 136, 268, 125]",[9189 1371 2711 1218],[9176 1384 2695 1234],[9215 1345 2691 1238],[9190 1370 2671 1258],[9258 1302 2719 1210]
1,10,"[1003, 53, 311, 82]","[984, 72, 307, 86]","[990, 66, 296, 97]","[985, 71, 294, 99]","[997, 59, 302, 91]","[982, 74, 290, 103]",[9859  701 3015  914],[9810  750 3005  924],[9851  709 3041  888],[9827  733 3020  909],[9824  736 3015  914]
2,12,"[1001, 55, 305, 88]","[982, 74, 311, 82]","[989, 67, 300, 93]","[983, 73, 299, 94]","[996, 60, 308, 85]","[985, 71, 285, 108]",[9843  717 3016  913],[9863  697 3019  910],[9849  711 3015  914],[9860  700 3007  922],[9842  718 3038  891]
3,14,"[1002, 54, 305, 88]","[987, 69, 304, 89]","[991, 65, 294, 99]","[982, 74, 302, 91]","[992, 64, 303, 90]","[993, 63, 287, 106]",[9874  686 3000  929],[9876  684 3016  913],[9860  700 3012  917],[9863  697 2992  937],[9854  706 3044  885]
4,16,"[1000, 56, 306, 87]","[991, 65, 305, 88]","[990, 66, 296, 97]","[985, 71, 290, 103]","[995, 61, 298, 95]","[992, 64, 289, 104]",[9883  677 3003  926],[9899  661 3005  924],[9866  694 3024  905],[9875  685 2980  949],[9872  688 3027  902]
5,20,"[998, 58, 302, 91]","[992, 64, 303, 90]","[985, 71, 302, 91]","[990, 66, 289, 104]","[990, 66, 294, 99]","[991, 65, 295, 98]",[9877  683 2989  940],[9898  662 3018  911],[9887  673 3010  919],[9895  665 2987  942],[9862  698 3027  902]
