,Alpha,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,0.0001,"[988, 68, 291, 102]",0.7426323417765202,0.5707451181309319,0.20570119623313818,0.3020735576705972
1,0.0005,"[1019, 37, 320, 73]",0.7460970391331354,0.5893474418204138,0.21664545685925174,0.3151780674314636
2,0.0008,"[1020, 36, 333, 60]",0.7465111463869143,0.5932226770372492,0.20982438279460425,0.30926236432259124
3,0.001,"[1017, 39, 328, 65]",0.7467596107391814,0.5923750845800153,0.21226775260880631,0.3123244619595687
4,0.002,"[1019, 37, 326, 67]",0.7470080750914485,0.6034922315177126,0.19623313820310512,0.29593812036767675
5,0.003,"[1020, 36, 322, 71]",0.7479881289253917,0.6188392478804011,0.18401628913209467,0.2835562495006883
6,0.004,"[1022, 34, 325, 68]",0.7475050037959832,0.6216722711595756,0.17597353016034617,0.27429701341666457
7,0.005,"[1027, 29, 332, 61]",0.7463040927600249,0.6243712328378497,0.16182234665309242,0.2569766616619885
8,0.01,"[1051, 5, 385, 8]",0.735509697011526,0.6464748207565704,0.05512853143293459,0.1013757158366549
