,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,linear,100.0,,,50,0.5,"[1006, 50, 300, 93]",0.7417489129684588,0.554065860280675,0.24418427080682106,0.3389330632117667
1,linear,1000.0,,,50,0.5,"[1003, 53, 302, 91]",0.7407550555593898,0.5496610000321318,0.24352252481547465,0.33747859091592536
