,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
17,poly,10.0,1.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[1031, 25, 386, 7]","[1017, 39, 328, 65]",[10067   493  3273   656],[10017   543  3192   737],[10048   512  3217   712],[9083 1477 2932  997],[10051   509  3201   728]
18,rbf,10.0,10.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10042   518  3224   705],[10018   542  3194   735],[10039   521  3216   713],[10062   498  3264   665],[10053   507  3209   720]
19,poly,10.0,10.0,2.0,"[978, 78, 290, 103]","[954, 102, 284, 109]","[1012, 44, 349, 44]","[974, 82, 273, 120]","[1048, 8, 391, 2]","[1024, 32, 341, 52]",[9972  588 3201  728],[9726  834 3101  828],[10022   538  3233   696],[9102 1458 2955  974],[9874  686 3168  761]
20,poly,10.0,10.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[48, 1008, 12, 381]","[1017, 39, 328, 65]",[9071 1489 2892 1037],[10017   543  3192   737],[10037   523  3214   715],[9163 1397 2942  987],[10051   509  3201   728]
21,linear,100.0,,,"[1014, 42, 327, 66]","[1005, 51, 306, 87]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1055, 1, 392, 1]","[1009, 47, 319, 74]",[10094   466  3253   676],[10042   518  3172   757],[10038   522  3175   754],[10088   472  3256   673],[10037   523  3166   763]
22,rbf,100.0,1.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10004   556  3199   730],[10018   542  3193   736],[10034   526  3212   717],[10056   504  3259   670],[10052   508  3205   724]
23,poly,100.0,1.0,2.0,"[1012, 44, 324, 69]","[1013, 43, 319, 74]","[1008, 48, 339, 54]","[1013, 43, 314, 79]","[14, 1042, 3, 390]","[1018, 38, 329, 64]",[9025 1535 2876 1053],[9877  683 3138  791],[10052   508  3217   712],[9269 1291 2984  945],[10043   517  3197   732]
24,poly,100.0,1.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[50, 1006, 25, 368]","[1017, 39, 328, 65]",[9073 1487 2905 1024],[10017   543  3192   737],[10037   523  3214   715],[10107   453  3305   624],[10051   509  3201   728]
25,rbf,100.0,10.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10042   518  3224   705],[10018   542  3194   735],[10039   521  3216   713],[10062   498  3264   665],[10053   507  3209   720]
26,poly,100.0,10.0,2.0,"[892, 164, 293, 100]","[964, 92, 284, 109]","[1008, 48, 339, 54]","[974, 82, 273, 120]","[30, 1026, 21, 372]","[1023, 33, 331, 62]",[8873 1687 2814 1115],[9679  881 3086  843],[9736  824 3127  802],[9960  600 3266  663],[9986  574 3159  770]
27,poly,100.0,10.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[1034, 22, 387, 6]","[1017, 39, 328, 65]",[10057   503  3267   662],[10017   543  3192   737],[10037   523  3214   715],[9164 1396 2939  990],[10051   509  3201   728]
28,linear,1000.0,,,"[1009, 47, 325, 68]","[1007, 49, 311, 82]","[997, 59, 327, 66]","[1001, 55, 299, 94]","[950, 106, 311, 82]","[1009, 47, 319, 74]",[9932  628 3123  806],[9940  620 3115  814],[9891  669 3042  887],[9943  617 3146  783],[9820  740 3011  918]
29,rbf,1000.0,1.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10004   556  3199   730],[10018   542  3193   736],[10034   526  3212   717],[10056   504  3259   670],[10052   508  3205   724]
30,poly,1000.0,1.0,2.0,"[875, 181, 271, 122]","[1013, 43, 319, 74]","[1001, 55, 338, 55]","[1010, 46, 307, 86]","[1048, 8, 391, 2]","[996, 60, 297, 96]",[9907  653 3194  735],[9363 1197 2918 1011],[9927  633 3135  794],[8941 1619 2854 1075],[9907  653 3175  754]
31,poly,1000.0,1.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[159, 897, 40, 353]","[1017, 39, 328, 65]",[9182 1378 2920 1009],[10017   543  3192   737],[10037   523  3214   715],[9088 1472 2928 1001],[10051   509  3201   728]
32,rbf,1000.0,10.0,,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[992, 64, 331, 62]","[1017, 39, 328, 65]",[10042   518  3224   705],[10018   542  3194   735],[10039   521  3216   713],[10062   498  3264   665],[10053   507  3209   720]
33,poly,1000.0,10.0,2.0,"[981, 75, 291, 102]","[964, 92, 284, 109]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[30, 1026, 21, 372]","[1023, 33, 331, 62]",[8978 1582 2830 1099],[9266 1294 2904 1025],[9896  664 3107  822],[10082   478  3291   638],[9948  612 3115  814]
34,poly,1000.0,10.0,3.0,"[1009, 47, 321, 72]","[1000, 56, 308, 85]","[1008, 48, 339, 54]","[1004, 52, 306, 87]","[115, 941, 21, 372]","[1017, 39, 328, 65]",[9138 1422 2901 1028],[10017   543  3192   737],[10037   523  3214   715],[10103   457  3299   630],[10051   509  3201   728]
