,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[955, 101, 287, 106]","[897, 159, 285, 108]","[902, 154, 269, 124]","[913, 143, 252, 141]","[940, 116, 276, 117]","[923, 133, 262, 131]",[9198 1362 2737 1192],[9177 1383 2692 1237],[9219 1341 2692 1237],[9194 1366 2765 1164],[9153 1407 2733 1196]
1,10,"[992, 64, 314, 79]","[991, 65, 326, 67]","[973, 83, 298, 95]","[975, 81, 303, 90]","[993, 63, 304, 89]","[994, 62, 306, 87]",[9798  762 3058  871],[9835  725 3028  901],[9823  737 3015  914],[9839  721 3063  866],[9862  698 3026  903]
2,12,"[998, 58, 307, 86]","[985, 71, 323, 70]","[985, 71, 302, 91]","[979, 77, 299, 94]","[993, 63, 310, 83]","[1005, 51, 298, 95]",[9852  708 3035  894],[9791  769 2996  933],[9843  717 3035  894],[9852  708 3065  864],[9815  745 3009  920]
3,14,"[1003, 53, 303, 90]","[989, 67, 323, 70]","[986, 70, 295, 98]","[978, 78, 297, 96]","[983, 73, 305, 88]","[997, 59, 304, 89]",[9848  712 3032  897],[9799  761 2987  942],[9863  697 3004  925],[9858  702 3029  900],[9846  714 3016  913]
4,16,"[1002, 54, 305, 88]","[985, 71, 319, 74]","[985, 71, 301, 92]","[980, 76, 295, 98]","[983, 73, 305, 88]","[1003, 53, 304, 89]",[9850  710 3030  899],[9804  756 2976  953],[9828  732 2975  954],[9874  686 3021  908],[9882  678 3004  925]
5,20,"[1002, 54, 301, 92]","[992, 64, 307, 86]","[998, 58, 298, 95]","[979, 77, 293, 100]","[985, 71, 308, 85]","[1004, 52, 303, 90]",[9889  671 3014  915],[9822  738 2949  980],[9877  683 3002  927],[9889  671 3013  916],[9890  670 2974  955]
