,Alpha,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,50,"[1012, 44, 312, 81]","[985, 71, 289, 104]","[1001, 55, 309, 84]","[982, 74, 276, 117]","[972, 84, 291, 102]","[1009, 47, 311, 82]",[9907  653 2992  937],[9949  611 3032  897],[9981  579 3053  876],[9937  623 3000  929],[9952  608 3037  892]
1,0.0001,100,"[1012, 44, 315, 78]","[986, 70, 286, 107]","[995, 61, 303, 90]","[992, 64, 283, 110]","[980, 76, 294, 99]","[1007, 49, 307, 86]",[9920  640 2992  937],[9945  615 3014  915],[9958  602 3024  905],[9947  613 3011  918],[9958  602 3035  894]
2,0.0001,150,"[1012, 44, 317, 76]","[986, 70, 286, 107]","[996, 60, 305, 88]","[994, 62, 284, 109]","[983, 73, 295, 98]","[1002, 54, 308, 85]",[9921  639 3000  929],[9943  617 3016  913],[9958  602 3014  915],[9935  625 3006  923],[9947  613 3020  909]
3,0.001,50,"[1014, 42, 314, 79]","[1007, 49, 303, 90]","[1004, 52, 318, 75]","[1008, 48, 296, 97]","[990, 66, 301, 92]","[1008, 48, 313, 80]",[10036   524  3094   835],[10050   510  3116   813],[10047   513  3107   822],[10028   532  3100   829],[10022   538  3106   823]
4,0.001,100,"[1015, 41, 319, 74]","[1007, 49, 305, 88]","[1006, 50, 318, 75]","[1009, 47, 299, 94]","[992, 64, 302, 91]","[1008, 48, 315, 78]",[10047   513  3108   821],[10037   523  3094   835],[10040   520  3103   826],[10032   528  3109   820],[10012   548  3093   836]
5,0.001,150,"[1015, 41, 319, 74]","[1006, 50, 300, 93]","[1005, 51, 315, 78]","[1010, 46, 296, 97]","[994, 62, 301, 92]","[1009, 47, 315, 78]",[10047   513  3098   831],[10039   521  3090   839],[10044   516  3104   825],[10036   524  3107   822],[10015   545  3090   839]
6,0.01,50,"[1048, 8, 375, 18]","[1051, 5, 373, 20]","[1048, 8, 376, 17]","[1048, 8, 374, 19]","[1047, 9, 373, 20]","[1051, 5, 374, 19]",[10480    80  3755   174],[10492    68  3772   157],[10495    65  3782   147],[10492    68  3770   159],[10483    77  3759   170]
7,0.01,100,"[1049, 7, 379, 14]","[1051, 5, 373, 20]","[1048, 8, 380, 13]","[1050, 6, 380, 13]","[1050, 6, 374, 19]","[1051, 5, 376, 17]",[10489    71  3773   156],[10495    65  3779   150],[10494    66  3784   145],[10498    62  3772   157],[10491    69  3767   162]
8,0.01,150,"[1049, 7, 381, 12]","[1051, 5, 373, 20]","[1048, 8, 380, 13]","[1050, 6, 381, 12]","[1050, 6, 375, 18]","[1051, 5, 377, 16]",[10488    72  3778   151],[10498    62  3782   147],[10495    65  3785   144],[10497    63  3769   160],[10492    68  3768   161]
