,Neighbors,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,12,50,"[1003, 53, 304, 89]",0.7443301815170129,0.5705275614437095,0.23115296513107664,0.3289635228594222
1,12,100,"[1003, 53, 305, 88]",0.7444406101180204,0.5707378638216524,0.2321201323491983,0.33000766817727345
2,12,150,"[1003, 53, 300, 93]",0.7441231278901235,0.5688922371943592,0.2327309748027488,0.3303096464354137
3,14,50,"[998, 58, 296, 97]",0.7441645386155015,0.5696783785505157,0.23110206159328076,0.32880681509517395
4,14,100,"[998, 58, 296, 97]",0.7446890744702879,0.5720222402385715,0.23217103588699411,0.3302785547054145
5,14,150,"[998, 58, 296, 97]",0.7445372351439022,0.5708848232159472,0.23329091371850344,0.331225624847448
6,16,50,"[1005, 51, 302, 91]",0.744937538822555,0.5736949582548246,0.2312038686688725,0.3295747937846191
7,16,100,"[1006, 50, 302, 91]",0.7451998067499483,0.5748751346748175,0.2316110969712395,0.3301769381824377
8,16,150,"[1006, 50, 302, 91]",0.7449375388225551,0.573730753535812,0.23105115805548487,0.3294231131769032
