,N_Estimators,Max_Depth,Estimators,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,500,5,50,"[1009, 47, 321, 72]",0.742094002,0.576371498,0.184678035,0.27963053
1,500,10,50,"[1009, 47, 321, 72]",0.742052592,0.576077389,0.184678035,0.279599703
2,500,15,50,"[1009, 47, 321, 72]",0.742052592,0.576077389,0.184678035,0.279599703
3,300,5,50,"[1009, 47, 321, 72]",0.742080199,0.576283503,0.184678035,0.279619747
4,300,10,50,"[1009, 47, 321, 72]",0.742024984,0.575901536,0.184678035,0.27957814
5,300,15,50,"[1009, 47, 321, 72]",0.742024984,0.575901536,0.184678035,0.27957814
