,Max_depth,N_estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,3,50,"[1014, 42, 316, 77]","[1005, 51, 300, 93]","[999, 57, 311, 82]","[990, 66, 284, 109]","[992, 64, 300, 93]","[1005, 51, 309, 84]",[9979  581 3063  866],[10002   558  3089   840],[9988  572 3071  858],[9981  579 3074  855],[9974  586 3065  864]
1,3,75,"[1012, 44, 310, 83]","[1005, 51, 301, 92]","[995, 61, 307, 86]","[991, 65, 285, 108]","[980, 76, 292, 101]","[1004, 52, 314, 79]",[9961  599 3049  880],[9998  562 3072  857],[9979  581 3069  860],[9965  595 3059  870],[9975  585 3056  873]
2,3,100,"[1012, 44, 309, 84]","[1001, 55, 301, 92]","[995, 61, 307, 86]","[990, 66, 284, 109]","[980, 76, 293, 100]","[1004, 52, 311, 82]",[9953  607 3044  885],[9986  574 3059  870],[9970  590 3059  870],[9960  600 3053  876],[9970  590 3050  879]
3,3,125,"[1011, 45, 305, 88]","[1008, 48, 301, 92]","[994, 62, 305, 88]","[990, 66, 283, 110]","[980, 76, 292, 101]","[1007, 49, 310, 83]",[9956  604 3032  897],[9977  583 3052  877],[9969  591 3054  875],[9948  612 3047  882],[9969  591 3040  889]
4,3,150,"[1010, 46, 307, 86]","[1009, 47, 301, 92]","[994, 62, 304, 89]","[990, 66, 282, 111]","[980, 76, 291, 102]","[1005, 51, 307, 86]",[9953  607 3026  903],[9970  590 3043  886],[9960  600 3053  876],[9949  611 3038  891],[9965  595 3033  896]
5,4,50,"[1010, 46, 306, 87]","[1007, 49, 302, 91]","[1000, 56, 314, 79]","[989, 67, 287, 106]","[992, 64, 301, 92]","[1005, 51, 308, 85]",[9983  577 3060  869],[10012   548  3076   853],[10003   557  3082   847],[10002   558  3081   848],[9987  573 3061  868]
6,4,75,"[1011, 45, 304, 89]","[1007, 49, 301, 92]","[1000, 56, 311, 82]","[993, 63, 290, 103]","[991, 65, 300, 93]","[1006, 50, 308, 85]",[9983  577 3046  883],[9999  561 3053  876],[9984  576 3070  859],[10001   559  3066   863],[9975  585 3062  867]
7,4,100,"[1011, 45, 304, 89]","[1007, 49, 302, 91]","[999, 57, 310, 83]","[993, 63, 290, 103]","[987, 69, 299, 94]","[1008, 48, 307, 86]",[9976  584 3038  891],[9991  569 3041  888],[9967  593 3063  866],[9996  564 3068  861],[9959  601 3048  881]
8,4,125,"[1010, 46, 302, 91]","[1007, 49, 302, 91]","[998, 58, 308, 85]","[993, 63, 290, 103]","[986, 70, 299, 94]","[1009, 47, 306, 87]",[9972  588 3030  899],[9959  601 3035  894],[9965  595 3055  874],[9979  581 3057  872],[9946  614 3044  885]
9,4,150,"[1008, 48, 303, 90]","[1007, 49, 301, 92]","[995, 61, 307, 86]","[990, 66, 290, 103]","[984, 72, 298, 95]","[1007, 49, 307, 86]",[9957  603 3034  895],[9956  604 3031  898],[9956  604 3049  880],[9976  584 3055  874],[9940  620 3033  896]
10,5,50,"[1009, 47, 303, 90]","[1002, 54, 300, 93]","[1001, 55, 316, 77]","[993, 63, 283, 110]","[997, 59, 304, 89]","[1004, 52, 305, 88]",[9988  572 3051  878],[9995  565 3056  873],[9994  566 3079  850],[9999  561 3064  865],[9959  601 3062  867]
11,5,75,"[1007, 49, 302, 91]","[1007, 49, 299, 94]","[1000, 56, 318, 75]","[993, 63, 283, 110]","[993, 63, 301, 92]","[1004, 52, 303, 90]",[9987  573 3044  885],[9970  590 3044  885],[9989  571 3061  868],[10002   558  3065   864],[9952  608 3045  884]
12,5,100,"[1007, 49, 302, 91]","[1002, 54, 300, 93]","[998, 58, 315, 78]","[991, 65, 286, 107]","[994, 62, 301, 92]","[1003, 53, 304, 89]",[9971  589 3042  887],[9965  595 3039  890],[9968  592 3048  881],[9994  566 3051  878],[9945  615 3040  889]
13,5,125,"[1005, 51, 301, 92]","[1000, 56, 303, 90]","[996, 60, 315, 78]","[991, 65, 283, 110]","[991, 65, 300, 93]","[1002, 54, 302, 91]",[9954  606 3034  895],[9957  603 3027  902],[9954  606 3032  897],[9986  574 3045  884],[9937  623 3029  900]
14,5,150,"[1004, 52, 299, 94]","[999, 57, 302, 91]","[992, 64, 313, 80]","[992, 64, 282, 111]","[989, 67, 297, 96]","[999, 57, 303, 90]",[9946  614 3025  904],[9943  617 3019  910],[9939  621 3028  901],[9977  583 3043  886],[9921  639 3014  915]
15,6,50,"[1007, 49, 302, 91]","[1004, 52, 305, 88]","[997, 59, 314, 79]","[992, 64, 284, 109]","[993, 63, 303, 90]","[1004, 52, 301, 92]",[9977  583 3047  882],[9998  562 3048  881],[9969  591 3067  862],[9999  561 3041  888],[9948  612 3061  868]
