,Neighbors,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,5,"[946, 110, 276, 117]",0.718586513907102,0.47157979698921215,0.3133112751336218,0.3764813406046791
1,10,"[996, 60, 297, 96]",0.742024984470978,0.5574507752697906,0.23614151183507257,0.3317434897068211
2,12,"[1003, 53, 298, 95]",0.7431430740561806,0.5635985289798381,0.23405446678544156,0.3307192360780608
3,14,"[999, 57, 300, 93]",0.744316377941887,0.5682145034838196,0.23782132858233646,0.33529324594650517
4,16,"[999, 57, 295, 98]",0.745600110428601,0.574146275682294,0.2397556630185798,0.3382441679699607
5,20,"[998, 58, 297, 96]",0.7463316999102767,0.5782838454815105,0.23848307457368287,0.33769173204710273
