,Neighbors,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,5,"[933, 123, 275, 118]","[913, 143, 266, 127]","[927, 129, 264, 129]","[928, 128, 265, 128]","[929, 127, 271, 122]","[928, 128, 271, 122]",[9241 1319 2662 1267],[9292 1268 2658 1271],[9242 1318 2684 1245],[9283 1277 2684 1245],[9248 1312 2698 1231]
1,10,"[990, 66, 314, 79]","[977, 79, 299, 94]","[988, 68, 300, 93]","[992, 64, 292, 101]","[991, 65, 296, 97]","[995, 61, 302, 91]",[9860  700 3013  916],[9870  690 3009  920],[9869  691 3052  877],[9879  681 3048  881],[9847  713 3027  902]
2,12,"[994, 62, 308, 85]","[984, 72, 301, 92]","[984, 72, 301, 92]","[997, 59, 298, 95]","[994, 62, 289, 104]","[1002, 54, 302, 91]",[9889  671 3018  911],[9883  677 3001  928],[9879  681 3036  893],[9882  678 3039  890],[9875  685 3033  896]
3,14,"[1000, 56, 303, 90]","[985, 71, 300, 93]","[987, 69, 297, 96]","[1000, 56, 297, 96]","[997, 59, 292, 101]","[1002, 54, 303, 90]",[9913  647 3026  903],[9898  662 2998  931],[9878  682 3031  898],[9904  656 3028  901],[9876  684 3029  900]
4,16,"[999, 57, 305, 88]","[989, 67, 300, 93]","[985, 71, 297, 96]","[993, 63, 301, 92]","[997, 59, 294, 99]","[1000, 56, 305, 88]",[9893  667 3033  896],[9905  655 3018  911],[9907  653 3016  913],[9934  626 3033  896],[9904  656 3024  905]
5,20,"[1010, 46, 303, 90]","[988, 68, 303, 90]","[988, 68, 297, 96]","[1000, 56, 296, 97]","[996, 60, 291, 102]","[997, 59, 305, 88]",[9935  625 3017  912],[9924  636 3028  901],[9920  640 3033  896],[9905  655 3016  913],[9914  646 3041  888]
