,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[988, 68, 291, 102]","[938, 118, 257, 136]","[1011, 45, 338, 55]","[925, 131, 237, 156]","[1053, 3, 373, 20]","[1011, 45, 318, 75]",[9863  697 3019  910],[9963  597 3165  764],[9965  595 3102  827],[10018   542  3192   737],[9950  610 3126  803]
1,0.0005,"[1019, 37, 320, 73]","[990, 66, 285, 108]","[986, 70, 304, 89]","[1012, 44, 315, 78]","[1020, 36, 332, 61]","[1006, 50, 314, 79]",[10096   464  3191   738],[9950  610 3091  838],[10011   549  3120   809],[9711  849 2863 1066],[10027   533  3124   805]
2,0.0008,"[1020, 36, 333, 60]","[1015, 41, 318, 75]","[994, 62, 312, 81]","[988, 68, 275, 118]","[1016, 40, 326, 67]","[1027, 29, 338, 55]",[10092   468  3200   729],[10014   546  3115   814],[10014   546  3154   775],[9844  716 2972  957],[9995  565 3082  847]
3,0.001,"[1017, 39, 328, 65]","[1015, 41, 317, 76]","[998, 58, 319, 74]","[989, 67, 278, 115]","[1015, 41, 323, 70]","[989, 67, 282, 111]",[10016   544  3111   818],[9960  600 3045  884],[10045   515  3179   750],[9960  600 3073  856],[9948  612 3067  862]
4,0.002,"[1019, 37, 326, 67]","[1010, 46, 312, 81]","[1013, 43, 339, 54]","[1002, 54, 299, 94]","[1003, 53, 306, 87]","[1024, 32, 329, 64]",[10123   437  3226   703],[9994  566 3104  825],[10035   525  3140   789],[10060   500  3163   766],[10050   510  3157   772]
5,0.003,"[1020, 36, 322, 71]","[1019, 37, 321, 72]","[1011, 45, 333, 60]","[1021, 35, 319, 74]","[1002, 54, 301, 92]","[1004, 52, 312, 81]",[10140   420  3234   695],[10075   485  3160   769],[10123   437  3209   720],[10101   459  3174   755],[10134   426  3253   676]
6,0.004,"[1022, 34, 325, 68]","[1023, 33, 323, 70]","[1020, 36, 348, 45]","[1022, 34, 321, 72]","[1007, 49, 308, 85]","[1009, 47, 324, 69]",[10144   416  3245   684],[10130   430  3231   698],[10133   427  3233   696],[10149   411  3238   691],[10140   420  3241   688]
7,0.005,"[1027, 29, 332, 61]","[1026, 30, 331, 62]","[1020, 36, 350, 43]","[1026, 30, 323, 70]","[1023, 33, 334, 59]","[999, 57, 306, 87]",[10188   372  3304   625],[10162   398  3288   641],[10188   372  3296   633],[10155   405  3257   672],[10194   366  3321   608]
8,0.01,"[1051, 5, 385, 8]","[1054, 2, 379, 14]","[1047, 9, 375, 18]","[1051, 5, 380, 13]","[1051, 5, 373, 20]","[1045, 11, 367, 26]",[10469    91  3742   187],[10396   164  3671   258],[10465    95  3758   171],[10426   134  3692   237],[10445   115  3699   230]
