,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1014, 42, 310, 83]","[1001, 55, 296, 97]","[999, 57, 320, 73]","[994, 62, 288, 105]","[989, 67, 297, 96]","[1006, 50, 314, 79]",[9995  565 3064  865],[9980  580 3054  875],[9995  565 3061  868],[9984  576 3060  869],[9989  571 3052  877]
1,rbf,0.1,1.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
2,poly,0.1,1.0,2.0,"[618, 438, 195, 198]","[511, 545, 166, 227]","[440, 616, 213, 180]","[652, 404, 251, 142]","[624, 432, 246, 147]","[523, 533, 184, 209]",[5601 4959 1963 1966],[5078 5482 1994 1935],[5275 5285 1892 2037],[4694 5866 1829 2100],[4805 5755 1813 2116]
3,poly,0.1,1.0,3.0,"[650, 406, 201, 192]","[560, 496, 181, 212]","[636, 420, 188, 205]","[555, 501, 188, 205]","[520, 536, 197, 196]","[524, 532, 193, 200]",[5775 4785 1922 2007],[5174 5386 1859 2070],[5335 5225 1888 2041],[5191 5369 1937 1992],[5414 5146 1931 1998]
4,rbf,0.1,10.0,,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]",[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0],[10560     0  3929     0]
5,poly,0.1,10.0,2.0,"[424, 632, 176, 217]","[470, 586, 152, 241]","[398, 658, 153, 240]","[433, 623, 216, 177]","[508, 548, 205, 188]","[414, 642, 166, 227]",[4818 5742 1791 2138],[4497 6063 1856 2073],[5091 5469 1904 2025],[4717 5843 1868 2061],[4570 5990 1904 2025]
6,poly,0.1,10.0,3.0,"[563, 493, 205, 188]","[467, 589, 150, 243]","[581, 475, 172, 221]","[555, 501, 188, 205]","[583, 473, 168, 225]","[490, 566, 196, 197]",[5408 5152 1838 2091],[5178 5382 1854 2075],[5284 5276 1851 2078],[5148 5412 1903 2026],[5307 5253 1979 1950]
7,linear,1.0,,,"[1013, 43, 308, 85]","[1001, 55, 296, 97]","[1000, 56, 320, 73]","[994, 62, 287, 106]","[988, 68, 296, 97]","[1006, 50, 313, 80]",[9994  566 3056  873],[9977  583 3056  873],[9995  565 3061  868],[9983  577 3058  871],[9990  570 3050  879]
8,rbf,1.0,1.0,,"[1053, 3, 392, 1]","[1046, 10, 387, 6]","[1049, 7, 387, 6]","[1048, 8, 387, 6]","[1053, 3, 388, 5]","[1052, 4, 388, 5]",[10505    55  3865    64],[10475    85  3856    73],[10490    70  3866    63],[10490    70  3852    77],[10489    71  3876    53]
9,poly,1.0,1.0,2.0,"[456, 600, 165, 228]","[564, 492, 196, 197]","[367, 689, 187, 206]","[400, 656, 199, 194]","[504, 552, 208, 185]","[369, 687, 185, 208]",[4650 5910 1820 2109],[4898 5662 1867 2062],[4588 5972 1820 2109],[4834 5726 1834 2095],[4434 6126 1900 2029]
10,poly,1.0,1.0,3.0,"[650, 406, 201, 192]","[421, 635, 159, 234]","[530, 526, 160, 233]","[555, 501, 188, 205]","[599, 457, 174, 219]","[529, 527, 193, 200]",[5494 5066 1852 2077],[5191 5369 1872 2057],[5311 5249 1885 2044],[5218 5342 1912 2017],[5330 5230 2030 1899]
11,rbf,1.0,10.0,,"[1053, 3, 392, 1]","[1049, 7, 389, 4]","[1052, 4, 390, 3]","[1048, 8, 389, 4]","[1054, 2, 389, 4]","[1053, 3, 391, 2]",[10518    42  3889    40],[10494    66  3882    47],[10512    48  3881    48],[10503    57  3881    48],[10504    56  3900    29]
12,poly,1.0,10.0,2.0,"[424, 632, 176, 217]","[470, 586, 152, 241]","[398, 658, 153, 240]","[521, 535, 223, 170]","[464, 592, 214, 179]","[549, 507, 185, 208]",[4953 5607 1805 2124],[4687 5873 1872 2057],[4999 5561 1819 2110],[4594 5966 1731 2198],[4596 5964 1928 2001]
13,poly,1.0,10.0,3.0,"[579, 477, 198, 195]","[561, 495, 190, 203]","[495, 561, 198, 195]","[567, 489, 231, 162]","[527, 529, 200, 193]","[553, 503, 200, 193]",[5446 5114 1976 1953],[5458 5102 1916 2013],[5336 5224 1840 2089],[5541 5019 1874 2055],[5166 5394 1888 2041]
