,Alpha,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[998, 58, 302, 91]","[1005, 51, 306, 87]","[1008, 48, 339, 54]","[1015, 41, 315, 78]","[1024, 32, 351, 42]","[1024, 32, 333, 60]",[10123   437  3294   635],[10161   399  3314   615],[10115   445  3267   662],[10039   521  3206   723],[9944  616 3140  789]
1,0.0005,"[1025, 31, 338, 55]","[1013, 43, 319, 74]","[971, 85, 293, 100]","[975, 81, 270, 123]","[1053, 3, 392, 1]","[1007, 49, 318, 75]",[10033   527  3203   726],[10003   557  3158   771],[9997  563 3151  778],[10085   475  3271   658],[9911  649 3083  846]
2,0.0008,"[1014, 42, 328, 65]","[1013, 43, 317, 76]","[1001, 55, 330, 63]","[1007, 49, 304, 89]","[1002, 54, 337, 56]","[1009, 47, 318, 75]",[10037   523  3195   734],[10087   473  3227   702],[10104   456  3245   684],[10082   478  3282   647],[10004   556  3154   775]
3,0.001,"[1014, 42, 328, 65]","[1013, 43, 317, 76]","[1001, 55, 330, 63]","[1015, 41, 315, 78]","[1006, 50, 349, 44]","[1009, 47, 319, 74]",[10102   458  3261   668],[10127   433  3267   662],[10076   484  3213   716],[10106   454  3306   623],[10109   451  3252   677]
4,0.002,"[1026, 30, 340, 53]","[1013, 43, 319, 74]","[1012, 44, 349, 44]","[1018, 38, 318, 75]","[1053, 3, 392, 1]","[1009, 47, 319, 74]",[10198   362  3369   560],[10184   376  3320   609],[10159   401  3299   630],[10200   360  3378   551],[10153   407  3292   637]
5,0.003,"[1026, 30, 340, 53]","[1020, 36, 324, 69]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1053, 3, 392, 1]","[1024, 32, 332, 61]",[10223   337  3395   534],[10189   371  3332   597],[10187   373  3331   598],[10213   347  3389   540],[10166   394  3315   614]
6,0.004,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1053, 3, 392, 1]","[1024, 32, 333, 60]",[10227   333  3399   530],[10191   369  3335   594],[10191   369  3335   594],[10228   332  3407   522],[10191   369  3335   594]
7,0.005,"[1026, 30, 340, 53]","[1022, 34, 326, 67]","[1015, 41, 349, 44]","[1018, 38, 321, 72]","[1053, 3, 392, 1]","[1024, 32, 333, 60]",[10227   333  3399   530],[10191   369  3335   594],[10191   369  3335   594],[10226   334  3407   522],[10191   369  3335   594]
8,0.01,"[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1056, 0, 393, 0]","[1053, 3, 392, 1]","[1056, 0, 393, 0]",[10557     3  3928     1],[10560     0  3929     0],[10560     0  3929     0],[10555     5  3928     1],[10560     0  3929     0]
