,Max_depth,N_estimators,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,3,"[50, 100, 150]",100,"[1013, 43, 314, 79]","[1005, 51, 299, 94]","[1002, 54, 316, 77]","[995, 61, 287, 106]","[990, 66, 299, 94]","[1008, 48, 315, 78]",[9995  565 3085  844],[10021   539  3086   843],[10019   541  3101   828],[10017   543  3086   843],[10008   552  3087   842]
20,3,"[50, 100, 150]",150,"[1012, 44, 314, 79]","[1006, 50, 299, 94]","[1001, 55, 316, 77]","[997, 59, 286, 107]","[991, 65, 298, 95]","[1008, 48, 314, 79]",[9998  562 3082  847],[10022   538  3080   849],[10019   541  3099   830],[10015   545  3087   842],[10008   552  3086   843]
21,3,"[50, 100, 150]",50,"[1011, 45, 312, 81]","[999, 57, 297, 96]","[997, 59, 309, 84]","[993, 63, 286, 107]","[988, 68, 297, 96]","[1004, 52, 310, 83]",[9967  593 3053  876],[9999  561 3050  879],[10000   560  3086   843],[10003   557  3057   872],[9984  576 3068  861]
22,3,"[50, 100, 150]",100,"[1011, 45, 311, 82]","[998, 58, 295, 98]","[998, 58, 311, 82]","[996, 60, 286, 107]","[990, 66, 295, 98]","[1005, 51, 310, 83]",[9975  585 3049  880],[9998  562 3048  881],[10003   557  3078   851],[10003   557  3061   868],[9979  581 3066  863]
23,3,"[50, 100, 150]",150,"[1011, 45, 311, 82]","[1000, 56, 295, 98]","[999, 57, 312, 81]","[995, 61, 285, 108]","[988, 68, 295, 98]","[1006, 50, 309, 84]",[9977  583 3047  882],[10000   560  3049   880],[10003   557  3080   849],[9997  563 3061  868],[9982  578 3064  865]
24,3,"[50, 100, 150]",50,"[1011, 45, 309, 84]","[997, 59, 297, 96]","[995, 61, 306, 87]","[993, 63, 286, 107]","[988, 68, 294, 99]","[1000, 56, 306, 87]",[9956  604 3034  895],[9981  579 3031  898],[9989  571 3068  861],[9995  565 3039  890],[9968  592 3042  887]
25,3,"[50, 100, 150]",100,"[1011, 45, 308, 85]","[997, 59, 296, 97]","[996, 60, 307, 86]","[994, 62, 287, 106]","[991, 65, 294, 99]","[1002, 54, 307, 86]",[9963  597 3035  894],[9985  575 3036  893],[9989  571 3063  866],[9994  566 3041  888],[9966  594 3039  890]
26,3,"[50, 100, 150]",150,"[1013, 43, 309, 84]","[998, 58, 296, 97]","[997, 59, 308, 85]","[994, 62, 286, 107]","[990, 66, 294, 99]","[1001, 55, 307, 86]",[9967  593 3036  893],[9984  576 3034  895],[9989  571 3058  871],[9991  569 3045  884],[9970  590 3040  889]
27,4,"[50, 100, 150]",50,"[1013, 43, 309, 84]","[1001, 55, 297, 96]","[998, 58, 307, 86]","[994, 62, 287, 106]","[992, 64, 294, 99]","[1004, 52, 312, 81]",[9980  580 3050  879],[10000   560  3059   870],[10016   544  3082   847],[10005   555  3060   869],[9989  571 3072  857]
28,4,"[50, 100, 150]",100,"[1013, 43, 309, 84]","[1001, 55, 296, 97]","[999, 57, 310, 83]","[994, 62, 286, 107]","[993, 63, 295, 98]","[1007, 49, 312, 81]",[9988  572 3047  882],[10008   552  3062   867],[10017   543  3079   850],[10003   557  3061   868],[9986  574 3062  867]
29,4,"[50, 100, 150]",150,"[1011, 45, 309, 84]","[1001, 55, 296, 97]","[999, 57, 312, 81]","[994, 62, 285, 108]","[992, 64, 295, 98]","[1006, 50, 311, 82]",[9983  577 3050  879],[10001   559  3069   860],[10015   545  3078   851],[10002   558  3057   872],[9990  570 3067  862]
30,4,"[50, 100, 150]",50,"[1011, 45, 312, 81]","[999, 57, 298, 95]","[994, 62, 307, 86]","[995, 61, 289, 104]","[994, 62, 295, 98]","[1002, 54, 304, 89]",[9964  596 3037  892],[9987  573 3039  890],[9991  569 3057  872],[9996  564 3050  879],[9978  582 3046  883]
31,4,"[50, 100, 150]",100,"[1011, 45, 310, 83]","[1000, 56, 300, 93]","[998, 58, 307, 86]","[997, 59, 289, 104]","[994, 62, 295, 98]","[1004, 52, 305, 88]",[9975  585 3042  887],[9984  576 3049  880],[9997  563 3056  873],[9988  572 3049  880],[9975  585 3044  885]
32,4,"[50, 100, 150]",150,"[1012, 44, 311, 82]","[1000, 56, 300, 93]","[996, 60, 307, 86]","[998, 58, 289, 104]","[993, 63, 295, 98]","[1004, 52, 307, 86]",[9974  586 3044  885],[9984  576 3045  884],[9994  566 3059  870],[9988  572 3047  882],[9979  581 3043  886]
33,4,"[50, 100, 150]",50,"[1012, 44, 307, 86]","[1000, 56, 299, 94]","[991, 65, 303, 90]","[995, 61, 290, 103]","[993, 63, 295, 98]","[1001, 55, 302, 91]",[9951  609 3021  908],[9973  587 3022  907],[9984  576 3045  884],[9976  584 3021  908],[9954  606 3028  901]
34,4,"[50, 100, 150]",100,"[1014, 42, 308, 85]","[1000, 56, 299, 94]","[994, 62, 303, 90]","[999, 57, 287, 106]","[995, 61, 295, 98]","[1001, 55, 303, 90]",[9964  596 3022  907],[9969  591 3031  898],[9985  575 3039  890],[9975  585 3032  897],[9960  600 3021  908]
35,4,"[50, 100, 150]",150,"[1014, 42, 309, 84]","[999, 57, 299, 94]","[993, 63, 302, 91]","[999, 57, 287, 106]","[994, 62, 296, 97]","[1002, 54, 302, 91]",[9962  598 3018  911],[9975  585 3024  905],[9983  577 3040  889],[9974  586 3026  903],[9956  604 3018  911]
