,Neighbors,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,12,50,"[984, 72, 288, 105]","[963, 93, 294, 99]","[966, 90, 282, 111]","[965, 91, 281, 112]","[978, 78, 277, 116]","[966, 90, 274, 119]",[9669  891 2833 1096],[9665  895 2848 1081],[9675  885 2859 1070],[9666  894 2834 1095],[9664  896 2866 1063]
1,12,100,"[988, 68, 286, 107]","[962, 94, 294, 99]","[974, 82, 279, 114]","[969, 87, 279, 114]","[975, 81, 275, 118]","[965, 91, 274, 119]",[9682  878 2830 1099],[9662  898 2847 1082],[9661  899 2853 1076],[9688  872 2837 1092],[9650  910 2863 1066]
2,12,150,"[987, 69, 289, 104]","[963, 93, 292, 101]","[974, 82, 279, 114]","[967, 89, 278, 115]","[979, 77, 278, 115]","[965, 91, 272, 121]",[9684  876 2824 1105],[9663  897 2852 1077],[9671  889 2853 1076],[9691  869 2828 1101],[9657  903 2862 1067]
3,14,50,"[987, 69, 288, 105]","[972, 84, 292, 101]","[968, 88, 282, 111]","[971, 85, 280, 113]","[973, 83, 280, 113]","[971, 85, 273, 120]",[9699  861 2842 1087],[9701  859 2875 1054],[9711  849 2871 1058],[9717  843 2851 1078],[9706  854 2885 1044]
4,14,100,"[989, 67, 288, 105]","[969, 87, 291, 102]","[973, 83, 281, 112]","[971, 85, 274, 119]","[976, 80, 281, 112]","[977, 79, 274, 119]",[9717  843 2839 1090],[9705  855 2865 1064],[9693  867 2879 1050],[9734  826 2856 1073],[9696  864 2882 1047]
5,14,150,"[990, 66, 290, 103]","[966, 90, 291, 102]","[975, 81, 279, 114]","[970, 86, 276, 117]","[977, 79, 280, 113]","[975, 81, 275, 118]",[9717  843 2844 1085],[9701  859 2871 1058],[9700  860 2884 1045],[9723  837 2860 1069],[9693  867 2880 1049]
6,16,50,"[986, 70, 290, 103]","[974, 82, 289, 104]","[972, 84, 284, 109]","[970, 86, 277, 116]","[976, 80, 279, 114]","[978, 78, 278, 115]",[9734  826 2851 1078],[9735  825 2880 1049],[9744  816 2892 1037],[9748  812 2871 1058],[9737  823 2899 1030]
7,16,100,"[989, 67, 290, 103]","[975, 81, 290, 103]","[979, 77, 285, 108]","[971, 85, 275, 118]","[981, 75, 281, 112]","[978, 78, 279, 114]",[9747  813 2854 1075],[9735  825 2882 1047],[9724  836 2881 1048],[9754  806 2869 1060],[9736  824 2898 1031]
8,16,150,"[991, 65, 290, 103]","[976, 80, 287, 106]","[978, 78, 283, 110]","[970, 86, 275, 118]","[980, 76, 279, 114]","[978, 78, 277, 116]",[9749  811 2846 1083],[9746  814 2878 1051],[9726  834 2882 1047],[9752  808 2878 1051],[9729  831 2902 1027]
