,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[1024, 32, 336, 57]","[1035, 21, 341, 52]","[1024, 32, 351, 42]","[1007, 49, 305, 88]","[1023, 33, 326, 67]","[1024, 32, 336, 57]",[10197   363  3341   588],[10194   366  3353   576],[10211   349  3353   576],[10194   366  3371   558],[10203   357  3359   570]
1,25,0.2,"[1019, 37, 324, 69]","[1010, 46, 309, 84]","[1002, 54, 331, 62]","[995, 61, 295, 98]","[998, 58, 305, 88]","[1015, 41, 318, 75]",[10060   500  3187   742],[10070   490  3215   714],[10084   476  3205   724],[10055   505  3194   735],[10080   480  3228   701]
2,25,0.3,"[1018, 38, 320, 73]","[1014, 42, 308, 85]","[999, 57, 327, 66]","[993, 63, 292, 101]","[998, 58, 306, 87]","[1011, 45, 315, 78]",[10050   510  3163   766],[10059   501  3193   736],[10072   488  3187   742],[10025   535  3165   764],[10074   486  3198   731]
3,25,0.4,"[1017, 39, 319, 74]","[1013, 43, 307, 86]","[998, 58, 325, 68]","[993, 63, 292, 101]","[997, 59, 301, 92]","[1012, 44, 316, 77]",[10043   517  3155   774],[10053   507  3175   754],[10067   493  3184   745],[10023   537  3160   769],[10070   490  3185   744]
4,25,0.5,"[1017, 39, 319, 74]","[1013, 43, 307, 86]","[1001, 55, 326, 67]","[993, 63, 292, 101]","[996, 60, 300, 93]","[1012, 44, 316, 77]",[10038   522  3150   779],[10057   503  3175   754],[10065   495  3176   753],[10025   535  3160   769],[10087   473  3201   728]
5,50,0.1,"[1019, 37, 324, 69]","[1017, 39, 310, 83]","[1002, 54, 331, 62]","[995, 61, 295, 98]","[998, 58, 305, 88]","[1016, 40, 319, 74]",[10069   491  3189   740],[10070   490  3217   712],[10085   475  3209   720],[10061   499  3201   728],[10084   476  3232   697]
6,50,0.2,"[1017, 39, 319, 74]","[1013, 43, 307, 86]","[998, 58, 325, 68]","[993, 63, 292, 101]","[997, 59, 301, 92]","[1012, 44, 316, 77]",[10043   517  3155   774],[10053   507  3174   755],[10068   492  3182   747],[10023   537  3161   768],[10070   490  3185   744]
7,50,0.3,"[1016, 40, 318, 75]","[1013, 43, 307, 86]","[1001, 55, 326, 67]","[992, 64, 291, 102]","[995, 61, 299, 94]","[1011, 45, 315, 78]",[10036   524  3148   781],[10060   500  3180   749],[10055   505  3170   759],[10022   538  3154   775],[10082   478  3192   737]
8,50,0.4,"[1017, 39, 321, 72]","[1005, 51, 298, 95]","[999, 57, 324, 69]","[992, 64, 291, 102]","[993, 63, 300, 93]","[1011, 45, 314, 79]",[10018   542  3135   794],[10057   503  3172   757],[10061   499  3170   759],[10042   518  3158   771],[10081   479  3191   738]
9,50,0.5,"[1016, 40, 319, 74]","[1005, 51, 297, 96]","[999, 57, 323, 70]","[992, 64, 290, 103]","[991, 65, 300, 93]","[1007, 49, 313, 80]",[10010   550  3123   806],[10061   499  3168   761],[10064   496  3163   766],[10059   501  3175   754],[10085   475  3200   729]
10,75,0.1,"[1017, 39, 319, 74]","[1014, 42, 308, 85]","[999, 57, 327, 66]","[993, 63, 292, 101]","[998, 58, 306, 87]","[1011, 45, 315, 78]",[10049   511  3163   766],[10059   501  3193   736],[10073   487  3186   743],[10027   533  3165   764],[10074   486  3198   731]
11,75,0.2,"[1016, 40, 318, 75]","[1013, 43, 307, 86]","[1001, 55, 326, 67]","[992, 64, 291, 102]","[995, 61, 299, 94]","[1011, 45, 315, 78]",[10036   524  3148   781],[10060   500  3180   749],[10055   505  3169   760],[10022   538  3154   775],[10082   478  3193   736]
12,75,0.3,"[1017, 39, 320, 73]","[1005, 51, 297, 96]","[999, 57, 324, 69]","[992, 64, 291, 102]","[991, 65, 300, 93]","[1009, 47, 314, 79]",[10012   548  3129   800],[10065   495  3173   756],[10059   501  3163   766],[10060   500  3178   751],[10084   476  3189   740]
13,75,0.4,"[1015, 41, 319, 74]","[1005, 51, 297, 96]","[999, 57, 321, 72]","[991, 65, 289, 104]","[991, 65, 299, 94]","[1006, 50, 313, 80]",[10018   542  3116   813],[10051   509  3159   770],[10066   494  3158   771],[10063   497  3177   752],[10102   458  3209   720]
14,75,0.5,"[1014, 42, 319, 74]","[1005, 51, 296, 97]","[999, 57, 321, 72]","[988, 68, 289, 104]","[990, 66, 299, 94]","[1003, 53, 311, 82]",[10028   532  3119   810],[10054   506  3152   777],[10067   493  3163   766],[10061   499  3175   754],[10094   466  3196   733]
