,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix.1,Confusion Matrix.2,Confusion Matrix.3,Confusion Matrix.4,Confusion Matrix.5,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
19,poly,10.0,10.0,2.0,50,"[408, 648, 157, 236]","[257, 799, 133, 260]","[599, 457, 246, 147]","[235, 821, 119, 274]","[226, 830, 105, 288]","[475, 581, 216, 177]",[3500 7060 1566 2363],[3885 6675 1721 2208],[3576 6984 1519 2410],[3613 6947 1682 2247],[3470 7090 1547 2382]
20,poly,10.0,10.0,3.0,50,"[194, 862, 90, 303]","[164, 892, 102, 291]","[321, 735, 158, 235]","[151, 905, 104, 289]","[321, 735, 110, 283]","[198, 858, 98, 295]",[2057 8503 1004 2925],[1972 8588  913 3016],[1999 8561  972 2957],[1995 8565 1031 2898],[1954 8606 1007 2922]
21,linear,100.0,,,50,"[1016, 40, 324, 69]","[997, 59, 295, 98]","[1007, 49, 340, 53]","[990, 66, 288, 105]","[1005, 51, 317, 76]","[1018, 38, 316, 77]",[10008   552  3154   775],[10021   539  3155   774],[10022   538  3152   777],[9978  582 3102  827],[9967  593 3100  829]
22,rbf,100.0,1.0,,50,"[996, 60, 297, 96]","[950, 106, 287, 106]","[988, 68, 297, 96]","[948, 108, 272, 121]","[975, 81, 291, 102]","[992, 64, 298, 95]",[9763  797 2974  955],[9768  792 2956  973],[9755  805 2962  967],[9754  806 2970  959],[9784  776 2996  933]
23,poly,100.0,1.0,2.0,50,"[629, 427, 267, 126]","[287, 769, 136, 257]","[446, 610, 206, 187]","[326, 730, 188, 205]","[301, 755, 97, 296]","[449, 607, 183, 210]",[4001 6559 1777 2152],[4299 6261 1828 2101],[4142 6418 1749 2180],[3759 6801 1623 2306],[4283 6277 1903 2026]
24,poly,100.0,1.0,3.0,50,"[188, 868, 96, 297]","[195, 861, 117, 276]","[238, 818, 123, 270]","[180, 876, 134, 259]","[189, 867, 69, 324]","[178, 878, 94, 299]",[2012 8548 1032 2897],[2169 8391 1043 2886],[2307 8253 1124 2805],[2067 8493 1035 2894],[2039 8521 1037 2892]
25,rbf,100.0,10.0,,50,"[1000, 56, 302, 91]","[963, 93, 294, 99]","[992, 64, 307, 86]","[975, 81, 293, 100]","[977, 79, 292, 101]","[1001, 55, 308, 85]",[9836  724 3048  881],[9840  720 3033  896],[9827  733 3026  903],[9834  726 3060  869],[9833  727 3037  892]
26,poly,100.0,10.0,2.0,50,"[161, 895, 74, 319]","[184, 872, 100, 293]","[416, 640, 188, 205]","[183, 873, 113, 280]","[127, 929, 77, 316]","[161, 895, 83, 310]",[1939 8621  999 2930],[1990 8570  906 3023],[2059 8501  989 2940],[1782 8778  959 2970],[1806 8754  806 3123]
27,poly,100.0,10.0,3.0,50,"[186, 870, 95, 298]","[34, 1022, 12, 381]","[224, 832, 119, 274]","[47, 1009, 42, 351]","[244, 812, 98, 295]","[186, 870, 93, 300]",[1640 8920  826 3103],[1541 9019  774 3155],[1735 8825  915 3014],[1633 8927  829 3100],[1777 8783  926 3003]
28,linear,1000.0,,,50,"[1021, 35, 336, 57]","[983, 73, 279, 114]","[1007, 49, 343, 50]","[988, 68, 281, 112]","[1006, 50, 317, 76]","[1004, 52, 306, 87]",[9893  667 3027  902],[10072   488  3216   713],[10014   546  3133   796],[9983  577 3105  824],[10048   512  3188   741]
29,rbf,1000.0,1.0,,50,"[996, 60, 297, 96]","[950, 106, 287, 106]","[988, 68, 297, 96]","[948, 108, 272, 121]","[975, 81, 291, 102]","[992, 64, 298, 95]",[9763  797 2974  955],[9768  792 2956  973],[9755  805 2962  967],[9754  806 2970  959],[9784  776 2996  933]
30,poly,1000.0,1.0,2.0,50,"[328, 728, 146, 247]","[314, 742, 140, 253]","[432, 624, 192, 201]","[212, 844, 141, 252]","[286, 770, 149, 244]","[449, 607, 155, 238]",[3394 7166 1543 2386],[3679 6881 1545 2384],[3986 6574 1770 2159],[3484 7076 1666 2263],[3783 6777 1585 2344]
31,poly,1000.0,1.0,3.0,50,"[194, 862, 96, 297]","[163, 893, 97, 296]","[311, 745, 157, 236]","[191, 865, 118, 275]","[281, 775, 87, 306]","[230, 826, 127, 266]",[2175 8385 1069 2860],[2217 8343 1088 2841],[2047 8513 1012 2917],[2283 8277 1136 2793],[1938 8622  973 2956]
32,rbf,1000.0,10.0,,50,"[1000, 56, 302, 91]","[963, 93, 294, 99]","[992, 64, 307, 86]","[975, 81, 293, 100]","[977, 79, 292, 101]","[1001, 55, 308, 85]",[9836  724 3048  881],[9840  720 3033  896],[9827  733 3026  903],[9834  726 3060  869],[9833  727 3037  892]
33,poly,1000.0,10.0,2.0,50,"[129, 927, 65, 328]","[121, 935, 71, 322]","[285, 771, 142, 251]","[207, 849, 124, 269]","[187, 869, 90, 303]","[139, 917, 78, 315]",[1752 8808  858 3071],[1913 8647  921 3008],[1898 8662  920 3009],[1744 8816  927 3002],[1579 8981  743 3186]
34,poly,1000.0,10.0,3.0,50,"[1055, 1, 393, 0]","[1056, 0, 392, 1]","[1054, 2, 392, 1]","[250, 806, 163, 230]","[1055, 1, 392, 1]","[1055, 1, 392, 1]",[9743  817 3695  234],[9903  657 3731  198],[8052 2508 3125  804],[8570 1990 3259  670],[9328 1232 3556  373]
