,Estimators,Learning Rate,Confusion Matrix,Average Accuracy,Average Precision,Average Recall,Average F1
0,50,0.5,"[1005, 51, 303, 90]",0.7485264683553041,0.5989202281496739,0.21990328327818784,0.3216912847243433
1,50,0.75,"[1006, 50, 304, 89]",0.748498861205052,0.5939047767300424,0.22937134130822093,0.3309296105671792
2,50,1.0,"[1002, 54, 299, 94]",0.7485264683553041,0.588367940248199,0.2418427080682107,0.34278424123175094
3,100,0.5,"[1006, 50, 299, 94]",0.7483608254537925,0.5925969514224064,0.23049121913973022,0.33189151732164357
4,100,0.75,"[1005, 51, 303, 90]",0.7480985575263993,0.5875454105022951,0.238432171035887,0.33920543713938467
5,100,1.0,"[1004, 52, 298, 95]",0.7485954862309339,0.586096318651786,0.2481547467548994,0.34867483175025327
6,150,0.5,"[1002, 54, 296, 97]",0.7490095934847125,0.592666558884735,0.23802494273351998,0.3396384220582146
7,150,0.75,"[1003, 53, 300, 93]",0.7480433432258955,0.5852093961063909,0.24331891066429115,0.34372119900826814
8,150,1.0,"[1001, 55, 295, 98]",0.7485678790806819,0.5845833468955398,0.25151438024942735,0.35170591699133114
