,Alpha,Confusion Matrix
0,0.0001,"[178, 132, 119, 350]"
1,0.0005,"[147, 163, 84, 385]"
2,0.0008,"[146, 164, 86, 383]"
3,0.001,"[121, 189, 60, 409]"
4,0.002,"[141, 169, 73, 396]"
5,0.003,"[141, 169, 79, 390]"
6,0.004,"[144, 166, 82, 387]"
7,0.005,"[146, 164, 80, 389]"
8,0.01,"[140, 170, 71, 398]"
