,Alpha,Confusion Matrix
0,0.0001,"[97, 213, 44, 425]"
1,0.0005,"[135, 175, 85, 384]"
2,0.0008,"[154, 156, 101, 368]"
3,0.001,"[156, 154, 101, 368]"
4,0.002,"[173, 137, 122, 347]"
5,0.003,"[163, 147, 107, 362]"
6,0.004,"[147, 163, 101, 368]"
7,0.005,"[141, 169, 96, 373]"
8,0.01,"[131, 179, 89, 380]"
