,Alpha,Confusion Matrix
0,0.0001,"[137, 174, 89, 380]"
1,0.0005,"[126, 185, 71, 398]"
2,0.0008,"[124, 187, 69, 400]"
3,0.001,"[127, 184, 68, 401]"
4,0.002,"[143, 168, 80, 389]"
5,0.003,"[141, 170, 77, 392]"
6,0.004,"[143, 168, 81, 388]"
7,0.005,"[140, 171, 75, 394]"
8,0.01,"[127, 184, 71, 398]"
