,Alpha,Confusion Matrix
0,0.0001,"[158, 153, 89, 380]"
1,0.0005,"[173, 138, 97, 372]"
2,0.0008,"[153, 158, 83, 386]"
3,0.001,"[153, 158, 82, 387]"
4,0.002,"[156, 155, 79, 390]"
5,0.003,"[150, 161, 79, 390]"
6,0.004,"[150, 161, 72, 397]"
7,0.005,"[154, 157, 75, 394]"
8,0.01,"[136, 175, 72, 397]"
