,Alpha,Confusion Matrix
0,0.0001,"[207, 104, 182, 287]"
1,0.0005,"[128, 183, 54, 415]"
2,0.0008,"[191, 120, 135, 334]"
3,0.001,"[186, 125, 128, 341]"
4,0.002,"[175, 136, 115, 354]"
5,0.003,"[156, 155, 94, 375]"
6,0.004,"[155, 156, 93, 376]"
7,0.005,"[145, 166, 90, 379]"
8,0.01,"[143, 168, 85, 384]"
