,Alpha,Confusion Matrix
0,0.0001,"[172, 138, 114, 355]"
1,0.0005,"[132, 178, 86, 383]"
2,0.0008,"[139, 171, 90, 379]"
3,0.001,"[151, 159, 90, 379]"
4,0.002,"[139, 171, 84, 385]"
5,0.003,"[138, 172, 83, 386]"
6,0.004,"[139, 171, 91, 378]"
7,0.005,"[139, 171, 90, 379]"
8,0.01,"[129, 181, 86, 383]"
