,Alpha,Confusion Matrix
0,0.0001,"[178, 132, 120, 349]"
1,0.0005,"[164, 146, 106, 363]"
2,0.0008,"[159, 151, 102, 367]"
3,0.001,"[159, 151, 98, 371]"
4,0.002,"[155, 155, 91, 378]"
5,0.003,"[159, 151, 96, 373]"
6,0.004,"[136, 174, 79, 390]"
7,0.005,"[131, 179, 74, 395]"
8,0.01,"[123, 187, 75, 394]"
