,Alpha,Confusion Matrix
0,0.0001,"[176, 135, 105, 364]"
1,0.0005,"[152, 159, 98, 371]"
2,0.0008,"[136, 175, 84, 385]"
3,0.001,"[138, 173, 87, 382]"
4,0.002,"[146, 165, 84, 385]"
5,0.003,"[142, 169, 86, 383]"
6,0.004,"[135, 176, 75, 394]"
7,0.005,"[149, 162, 82, 387]"
8,0.01,"[142, 169, 81, 388]"
