,Alpha,Confusion Matrix
0,0.0001,"[192, 118, 121, 348]"
1,0.0005,"[144, 166, 83, 386]"
2,0.0008,"[156, 154, 84, 385]"
3,0.001,"[173, 137, 97, 372]"
4,0.002,"[173, 137, 102, 367]"
5,0.003,"[153, 157, 81, 388]"
6,0.004,"[160, 150, 90, 379]"
7,0.005,"[146, 164, 80, 389]"
8,0.01,"[127, 183, 72, 397]"
