,Alpha,Confusion Matrix
0,0.0001,"[150, 160, 83, 386]"
1,0.0005,"[176, 134, 130, 339]"
2,0.0008,"[173, 137, 123, 346]"
3,0.001,"[168, 142, 112, 357]"
4,0.002,"[153, 157, 93, 376]"
5,0.003,"[135, 175, 79, 390]"
6,0.004,"[146, 164, 86, 383]"
7,0.005,"[152, 158, 90, 379]"
8,0.01,"[140, 170, 88, 381]"
