,Alpha,Confusion Matrix
0,0.0001,"[146, 164, 75, 394]"
1,0.0005,"[190, 120, 102, 367]"
2,0.0008,"[181, 129, 91, 378]"
3,0.001,"[176, 134, 87, 382]"
4,0.002,"[163, 147, 74, 395]"
5,0.003,"[160, 150, 73, 396]"
6,0.004,"[158, 152, 71, 398]"
7,0.005,"[141, 169, 64, 405]"
8,0.01,"[131, 179, 57, 412]"
