,Alpha,Confusion Matrix
0,0.0001,"[192, 118, 119, 351]"
1,0.0005,"[159, 151, 95, 375]"
2,0.0008,"[166, 144, 98, 372]"
3,0.001,"[166, 144, 96, 374]"
4,0.002,"[170, 140, 91, 379]"
5,0.003,"[152, 158, 88, 382]"
6,0.004,"[159, 151, 94, 376]"
7,0.005,"[157, 153, 89, 381]"
8,0.01,"[142, 168, 82, 388]"
