,Alpha,Confusion Matrix
0,0.0001,"[123, 188, 73, 396]"
1,0.0005,"[161, 150, 101, 368]"
2,0.0008,"[168, 143, 97, 372]"
3,0.001,"[165, 146, 97, 372]"
4,0.002,"[169, 142, 108, 361]"
5,0.003,"[164, 147, 100, 369]"
6,0.004,"[158, 153, 95, 374]"
7,0.005,"[154, 157, 93, 376]"
8,0.01,"[148, 163, 90, 379]"
