,Alpha,Confusion Matrix
0,0.0001,"[131, 179, 80, 389]"
1,0.0005,"[168, 142, 99, 370]"
2,0.0008,"[141, 169, 81, 388]"
3,0.001,"[158, 152, 89, 380]"
4,0.002,"[158, 152, 89, 380]"
5,0.003,"[151, 159, 90, 379]"
6,0.004,"[147, 163, 84, 385]"
7,0.005,"[143, 167, 83, 386]"
8,0.01,"[134, 176, 75, 394]"
