,Alpha,Confusion Matrix
0,0.0001,"[141, 170, 102, 367]"
1,0.0005,"[130, 181, 86, 383]"
2,0.0008,"[164, 147, 115, 354]"
3,0.001,"[140, 171, 91, 378]"
4,0.002,"[147, 164, 91, 378]"
5,0.003,"[149, 162, 95, 374]"
6,0.004,"[149, 162, 107, 362]"
7,0.005,"[152, 159, 107, 362]"
8,0.01,"[139, 172, 86, 383]"
