,Alpha,Confusion Matrix
0,0.0001,"[116, 195, 67, 402]"
1,0.0005,"[165, 146, 121, 348]"
2,0.0008,"[160, 151, 101, 368]"
3,0.001,"[159, 152, 98, 371]"
4,0.002,"[140, 171, 83, 386]"
5,0.003,"[138, 173, 81, 388]"
6,0.004,"[138, 173, 80, 389]"
7,0.005,"[131, 180, 78, 391]"
8,0.01,"[119, 192, 71, 398]"
