,Alpha,Confusion Matrix
0,0.0001,"[143, 168, 84, 385]"
1,0.0005,"[159, 152, 97, 372]"
2,0.0008,"[159, 152, 99, 370]"
3,0.001,"[157, 154, 99, 370]"
4,0.002,"[150, 161, 89, 380]"
5,0.003,"[144, 167, 87, 382]"
6,0.004,"[166, 145, 111, 358]"
7,0.005,"[155, 156, 106, 363]"
8,0.01,"[130, 181, 78, 391]"
